timestep	potential_energy
0	-680455
5000	-4569948
10000	-4931321
15000	-5295765
20000	-5574530.5
25000	-5780033
30000	-6008909
35000	-6411773
40000	-6572342.5
45000	-6645528
50000	-6824925.5
55000	-7138988
60000	-7232644
65000	-7359019
70000	-7443477.5
75000	-7541301
80000	-7939391
85000	-8034518.5
90000	-8167188.5
95000	-8295137
100000	-8350276
105000	-8421496
110000	-8536849
115000	-8822039
120000	-9014911
125000	-9116155
130000	-9231980
135000	-9238510
140000	-9299938
145000	-9374004
150000	-9471894
155000	-9645874
160000	-9858906
165000	-10047490
170000	-10134995
175000	-10137908
180000	-10252526
185000	-10501210
190000	-10526900
195000	-10528663
200000	-10608492
205000	-10631768
210000	-10632344
215000	-10726968
220000	-10809988
225000	-10826060
230000	-10826590
235000	-10907005
240000	-11151968
245000	-11228954
250000	-11278346
255000	-11295517
260000	-11299156
265000	-11299204
270000	-11299162
275000	-11307420
280000	-11455160
285000	-11490198
290000	-11558192
295000	-11629336
300000	-11629884
305000	-11629733
310000	-11629850
315000	-11794020
320000	-11884911
325000	-11892918
330000	-11892742
335000	-11944179
340000	-11957753
345000	-11971443
350000	-12154258
355000	-12161790
360000	-12312016
365000	-12488209
370000	-12521307
375000	-12527481
380000	-12587023
385000	-12593562
390000	-12730043
395000	-12737550
400000	-12737451
405000	-12825346
410000	-13061308
415000	-13154956
420000	-13269621
425000	-13285352
430000	-13341526
435000	-13341776
440000	-13341761
445000	-13341738
450000	-13798002
455000	-14152457
460000	-14153743
465000	-14246206
470000	-14305362
475000	-14469747
480000	-14689842
485000	-14911706
490000	-14929537
495000	-14929546
500000	-14929356
505000	-14929531
510000	-15023894
515000	-15024724
520000	-15024797
525000	-15024938
530000	-15067763
535000	-15068398
540000	-15068259
545000	-15068283
550000	-15219141
555000	-15219730
560000	-15219647
565000	-15219594
570000	-15219628
575000	-15339876
580000	-15793010
585000	-15878612
590000	-15878769
595000	-15935666
600000	-15952688
605000	-15952600
610000	-15954920
615000	-16125274
620000	-16334037
625000	-16522745
630000	-16569406
