timestep	potential_energy
0	-156634.9688
5000	-1122901.25
10000	-1325166.75
15000	-1403026.25
20000	-1482284.875
25000	-1552977.5
30000	-1598794.125
35000	-1638281.75
40000	-1665707.75
45000	-1704981.5
50000	-1740772.125
55000	-1772344.25
60000	-1820159.25
65000	-1849026.25
70000	-1870110
75000	-1899567.25
80000	-1933511.25
85000	-1970714
90000	-1993490.75
95000	-2015018.25
100000	-2044056.875
105000	-2057106
110000	-2059802.25
115000	-2065787.875
120000	-2080366.5
125000	-2121394.5
130000	-2143793.5
135000	-2157438.25
140000	-2171293.5
145000	-2201305.5
150000	-2213700.75
155000	-2230318
160000	-2238234.5
165000	-2251676
170000	-2257502.5
175000	-2257873.25
180000	-2266236.5
185000	-2282743.5
190000	-2292255.25
195000	-2297915
200000	-2306988
205000	-2312618
210000	-2316970
215000	-2338364.75
220000	-2344100.5
225000	-2349227
230000	-2354589
235000	-2362991.5
240000	-2369681.75
245000	-2371538
250000	-2372428
255000	-2403894
260000	-2417650
265000	-2432061.75
270000	-2443711
275000	-2446848.5
280000	-2448620
285000	-2463685.75
290000	-2470945.5
295000	-2486221
300000	-2494862.5
305000	-2514257.5
310000	-2527552.5
315000	-2527495.5
320000	-2534304.5
325000	-2541742
330000	-2544775
335000	-2560729.75
340000	-2568709
345000	-2572581
350000	-2577223
355000	-2576860.5
360000	-2576209.5
365000	-2584765
370000	-2584132
375000	-2585506
380000	-2586552
385000	-2587201.5
390000	-2585229
395000	-2586989
400000	-2586375
405000	-2586025
410000	-2591352
415000	-2594028.25
420000	-2601405.5
425000	-2600753
430000	-2603442.75
435000	-2603362.75
440000	-2619313.5
445000	-2620015
450000	-2624482.25
455000	-2624398.5
460000	-2625477.5
465000	-2623994
470000	-2623803.5
475000	-2622978.5
480000	-2625714.25
485000	-2632591
490000	-2643748.25
495000	-2647520.5
500000	-2645190.5
505000	-2645728
510000	-2646485.5
515000	-2652947.25
520000	-2660538.75
525000	-2662411.5
530000	-2662845
535000	-2675353.5
540000	-2683380.5
545000	-2682886
550000	-2687321
555000	-2698378
560000	-2708267.25
565000	-2711371
570000	-2711645.75
575000	-2713146
580000	-2710967.5
585000	-2722611.5
590000	-2724392.5
595000	-2728176
600000	-2731936
605000	-2734317
610000	-2736210
615000	-2737819.25
620000	-2737592
625000	-2734702.5
630000	-2749764.25
635000	-2749120
640000	-2749492
645000	-2750706.5
650000	-2750605
655000	-2748953
660000	-2760350
665000	-2758930
670000	-2771977
675000	-2777324.5
680000	-2776991
685000	-2776050.25
690000	-2792969
695000	-2802728
700000	-2814821
705000	-2814796.5
710000	-2814870
715000	-2815189
720000	-2815787.75
725000	-2816152
730000	-2815807.5
735000	-2815759
740000	-2826377.5
745000	-2826619.75
750000	-2827887.25
755000	-2827444
760000	-2839777.5
765000	-2839913
770000	-2841254.25
775000	-2843561
780000	-2842927.75
785000	-2840939.25
790000	-2840940
795000	-2841352.25
800000	-2842320.5
805000	-2841808.5
810000	-2842843.75
815000	-2842332.25
820000	-2843220
825000	-2843655.5
830000	-2841591.5
835000	-2844639.75
840000	-2849986.5
845000	-2851130
850000	-2861287.5
855000	-2864254.75
860000	-2882363.25
865000	-2887730
870000	-2889254.5
875000	-2889180
880000	-2889918.5
885000	-2891748.25
890000	-2892255.75
895000	-2892762.5
900000	-2893287
905000	-2902624
910000	-2902753.25
915000	-2902154
920000	-2901122.5
925000	-2910663
930000	-2912285
935000	-2915203.25
940000	-2923102.5
945000	-2936667
950000	-2938406.75
955000	-2949521.75
960000	-2951759
965000	-2952425.5
970000	-2952224.75
975000	-2955396.25
980000	-2951439.5
985000	-2954910
990000	-2953982
995000	-2961596.5
1000000	-2970321.5
1005000	-2972265
1010000	-2971241.5
1015000	-2970593.75
1020000	-2972609
1025000	-2974748
1030000	-2974080.5
1035000	-2982534
1040000	-2982192
1045000	-2982006.5
1050000	-2980604
1055000	-2988415
1060000	-2988081.5
1065000	-2989650
1070000	-2989845
1075000	-2990911
1080000	-2989310.25
1085000	-2988844.25
1090000	-2988883.75
1095000	-2988476
1100000	-2991990.5
1105000	-2987994.5
1110000	-2989295.5
1115000	-2990233.5
1120000	-2989593
1125000	-2989654.25
1130000	-2987749.25
1135000	-3001074.5
1140000	-3005987
1145000	-3010184.5
1150000	-3011256
1155000	-3010727
1160000	-3011805.25
1165000	-3011595.75
1170000	-3013322
1175000	-3010955.75
1180000	-3013035.25
1185000	-3011246.5
1190000	-3012559.5
1195000	-3011178
1200000	-3013572.25
1205000	-3011534.5
1210000	-3011207.5
1215000	-3012540.5
1220000	-3010936.5
1225000	-3012178
1230000	-3012482
1235000	-3012965.75
1240000	-3011905.5
1245000	-3010980
1250000	-3011202.5
1255000	-3018476.5
1260000	-3021409.75
1265000	-3017305
1270000	-3019296.5
1275000	-3019940.5
1280000	-3019495
1285000	-3020031.5
1290000	-3022019.5
1295000	-3019321.75
1300000	-3020941
1305000	-3031189
1310000	-3034467.5
1315000	-3038410.25
1320000	-3039397.25
1325000	-3039610
1330000	-3041279.25
1335000	-3040193.5
1340000	-3042149
1345000	-3041508
1350000	-3040240.75
1355000	-3040261
1360000	-3038809
1365000	-3040076.75
1370000	-3042771.5
1375000	-3039454
1380000	-3039134.5
1385000	-3038542
1390000	-3038762
1395000	-3040499.25
1400000	-3040029.5
1405000	-3039299.75
1410000	-3042650.75
1415000	-3041153.5
1420000	-3039494.5
1425000	-3038898
1430000	-3040420.75
1435000	-3040553.75
1440000	-3040520
1445000	-3041579
1450000	-3039028.5
1455000	-3038864
1460000	-3037863
1465000	-3040653.75
1470000	-3038443
1475000	-3037256
1480000	-3040835.25
1485000	-3038825.5
1490000	-3041541.5
1495000	-3045914.75
1500000	-3046252
1505000	-3045776
1510000	-3046232.75
1515000	-3046845
1520000	-3045474.25
1525000	-3045411.75
1530000	-3046128.75
1535000	-3046808.25
1540000	-3046135
1545000	-3047809
1550000	-3046046.25
1555000	-3046815
1560000	-3047333.5
1565000	-3045254
1570000	-3048099.5
1575000	-3048547.25
1580000	-3046997.5
1585000	-3048164.5
1590000	-3048068
1595000	-3046166.75
1600000	-3049700
1605000	-3047042
1610000	-3048284
1615000	-3046369.75
1620000	-3047260
1625000	-3047222.75
1630000	-3048364.5
1635000	-3046655.5
1640000	-3047550.25
1645000	-3047449
1650000	-3048178.5
1655000	-3045102.25
1660000	-3046515.75
1665000	-3048940.75
1670000	-3047517
1675000	-3050539
1680000	-3045139.5
1685000	-3045830
1690000	-3048663.5
1695000	-3048199.5
1700000	-3048054.25
1705000	-3048636.25
1710000	-3048232.5
1715000	-3046907.25
1720000	-3047812
1725000	-3045405
1730000	-3046119.25
1735000	-3059162.5
1740000	-3062318.75
1745000	-3064853.5
1750000	-3064581.5
1755000	-3062637
1760000	-3065210
1765000	-3064124.75
1770000	-3064294
1775000	-3063634.5
1780000	-3064143
1785000	-3062823
1790000	-3064001.25
1795000	-3066717.25
1800000	-3063158
1805000	-3063106
1810000	-3064589.5
1815000	-3063267.5
1820000	-3062947
1825000	-3064566.5
1830000	-3063047
1835000	-3064806.5
1840000	-3064423.25
1845000	-3063556
1850000	-3066641.5
1855000	-3063910.5
1860000	-3067154.5
1865000	-3063777.75
1870000	-3063733.75
1875000	-3062926.5
1880000	-3065504
1885000	-3064329
1890000	-3063413.25
1895000	-3063029
1900000	-3063235
1905000	-3066143.5
1910000	-3064942.5
1915000	-3065401
1920000	-3064470.25
1925000	-3065583.5
1930000	-3065643.5
1935000	-3064052.5
1940000	-3063468.75
1945000	-3064791.25
1950000	-3062330
1955000	-3064640
1960000	-3065149
1965000	-3065667.75
1970000	-3066104.5
1975000	-3064580.5
1980000	-3065205.5
1985000	-3064234.5
1990000	-3064991.5
1995000	-3063404.75
2000000	-3065004.5
2005000	-3064653.5
2010000	-3063750.5
2015000	-3066253
2020000	-3064084.5
2025000	-3064572
2030000	-3064814.5
2035000	-3064810.5
2040000	-3065578.5
2045000	-3064400
2050000	-3065097.5
2055000	-3063093.5
2060000	-3065951.5
2065000	-3065342.75
2070000	-3064716
2075000	-3063872.5
2080000	-3066828.75
2085000	-3065281.5
2090000	-3064744.5
2095000	-3064563.5
2100000	-3063984.5
2105000	-3064990.5
2110000	-3064265.75
2115000	-3062856
2120000	-3064796.25
2125000	-3063661
2130000	-3065056.5
2135000	-3065728
2140000	-3064563.5
2145000	-3063949
2150000	-3064634
2155000	-3065293
2160000	-3065639
2165000	-3064016.5
2170000	-3065320.5
2175000	-3065974.25
2180000	-3075707.75
2185000	-3074454
2190000	-3074457.5
2195000	-3074891
2200000	-3075995.5
2205000	-3075053.5
2210000	-3076361
2215000	-3077615
2220000	-3075688.75
2225000	-3076887
2230000	-3076626
2235000	-3076780
2240000	-3076845.5
2245000	-3077867.5
2250000	-3078467.5
2255000	-3086291
2260000	-3094529.5
2265000	-3104354
2270000	-3114284.25
2275000	-3122323.25
2280000	-3123490
2285000	-3121730.5
2290000	-3123427.25
2295000	-3122606
2300000	-3121955.5
2305000	-3123470.75
2310000	-3122449.5
2315000	-3122837.75
2320000	-3124166
2325000	-3123034.5
2330000	-3122060.25
2335000	-3126145.5
2340000	-3124467.5
2345000	-3122001
2350000	-3127132
2355000	-3130768.75
2360000	-3130586
2365000	-3129549.5
2370000	-3129825.5
2375000	-3131115.5
2380000	-3128102
2385000	-3131231
2390000	-3131208.5
2395000	-3131009.25
2400000	-3130283.75
2405000	-3130109.75
2410000	-3130912.25
2415000	-3128234.75
2420000	-3129084.5
2425000	-3127723.5
2430000	-3130591.5
2435000	-3131452.75
2440000	-3129980.25
2445000	-3132779.5
2450000	-3132087
2455000	-3131896.25
2460000	-3130301.5
2465000	-3129049.5
2470000	-3131417.5
2475000	-3130523
2480000	-3131109.25
2485000	-3128707.5
2490000	-3133386
2495000	-3132053.5
2500000	-3133018.25
2505000	-3132000
2510000	-3132239.5
2515000	-3128059
2520000	-3131842
2525000	-3130888.25
2530000	-3129321
2535000	-3129896.5
2540000	-3129578.75
2545000	-3131210.5
2550000	-3137693.5
2555000	-3138216
2560000	-3138005.25
2565000	-3137370.5
2570000	-3139927.75
2575000	-3141331.75
2580000	-3139803.5
2585000	-3140190
2590000	-3138609
2595000	-3140767
2600000	-3139143.5
2605000	-3138989
2610000	-3142253.75
2615000	-3154943.5
2620000	-3153742
2625000	-3155316.5
2630000	-3154230.25
2635000	-3153059.25
2640000	-3153783.25
2645000	-3179310.5
2650000	-3185516.75
2655000	-3188121
2660000	-3188244
2665000	-3186274.5
2670000	-3186235.75
2675000	-3185414
2680000	-3185323.5
2685000	-3187726.25
2690000	-3185752.25
2695000	-3186079.5
2700000	-3186054
2705000	-3186327.5
2710000	-3188102
2715000	-3187590
2720000	-3188063.5
2725000	-3188612
2730000	-3188629.25
2735000	-3188909
2740000	-3191292.5
2745000	-3186219.5
2750000	-3188531.5
2755000	-3190500.25
2760000	-3187655.5
2765000	-3190018
2770000	-3186059.5
2775000	-3189020.25
2780000	-3187046.25
2785000	-3188213.5
2790000	-3187291
2795000	-3188685.5
2800000	-3188936.5
2805000	-3188008.5
2810000	-3186404.5
2815000	-3185626
2820000	-3188585.25
2825000	-3188788
2830000	-3189203.5
2835000	-3188361
2840000	-3189392.5
2845000	-3199058
2850000	-3208471.25
2855000	-3212927.5
2860000	-3211350.5
2865000	-3214246.75
2870000	-3212980.5
2875000	-3212725.75
2880000	-3212727
2885000	-3213770.75
2890000	-3212548.25
2895000	-3213784.25
2900000	-3213731.5
2905000	-3214698.75
2910000	-3214606.75
2915000	-3213780
2920000	-3214474.75
2925000	-3213277
2930000	-3213423
2935000	-3212590
2940000	-3214541.5
2945000	-3214142.5
2950000	-3214093.5
2955000	-3214995.5
2960000	-3212844.5
2965000	-3212501.5
2970000	-3211931
2975000	-3213592.5
2980000	-3215059
2985000	-3213573.5
2990000	-3214577.75
2995000	-3213744.5
3000000	-3215392
3005000	-3213403
3010000	-3212704
3015000	-3212646.5
3020000	-3213734.5
3025000	-3212823
3030000	-3209740.25
3035000	-3213222
3040000	-3213156.5
3045000	-3214235.75
3050000	-3212960.5
3055000	-3214422.5
3060000	-3212956.25
3065000	-3212422.25
3070000	-3213906
3075000	-3211700.5
3080000	-3215269.75
3085000	-3213111.25
3090000	-3210342
3095000	-3213519
3100000	-3214819
3105000	-3212762
3110000	-3213674
3115000	-3214043
3120000	-3213391.25
3125000	-3213780
3130000	-3211641
3135000	-3213615.5
3140000	-3214600.5
3145000	-3213962.5
3150000	-3214312.5
3155000	-3212727.5
3160000	-3214057
3165000	-3211808
3170000	-3214855.25
3175000	-3213906.5
3180000	-3213726.25
3185000	-3212156
3190000	-3214925.25
3195000	-3213180.75
3200000	-3214835
3205000	-3224914
3210000	-3228867.25
3215000	-3230518.25
3220000	-3231832.5
3225000	-3231578.5
3230000	-3233506.5
3235000	-3232872.5
3240000	-3233272.25
3245000	-3236245
3250000	-3242008
3255000	-3241742
3260000	-3242690.75
3265000	-3243908.5
3270000	-3241763
3275000	-3240546.75
3280000	-3244769
3285000	-3242026.5
3290000	-3240374.5
3295000	-3242536.75
3300000	-3242722.5
3305000	-3240177
3310000	-3241820
3315000	-3242214
3320000	-3241836.5
3325000	-3241470
3330000	-3242597
3335000	-3242663.5
3340000	-3244171
3345000	-3242636.25
3350000	-3243385
3355000	-3243722
3360000	-3243040
3365000	-3242729
3370000	-3243411.5
3375000	-3241585.5
3380000	-3240520.5
3385000	-3242897.75
3390000	-3242576.25
3395000	-3259333
3400000	-3261484.25
3405000	-3260174.75
3410000	-3262360
3415000	-3272259
3420000	-3276362.5
3425000	-3283388
3430000	-3280977
3435000	-3283392.5
3440000	-3282730.5
3445000	-3283370
3450000	-3282554
3455000	-3284113
3460000	-3284164
3465000	-3283662.5
3470000	-3284274.5
3475000	-3284315.25
3480000	-3289149.75
3485000	-3303273.5
3490000	-3305823
3495000	-3306301
3500000	-3309655
3505000	-3312292
3510000	-3310882.25
3515000	-3311697
3520000	-3312936
3525000	-3310589.5
3530000	-3310127
3535000	-3311312.75
3540000	-3311182.5
3545000	-3311013.75
3550000	-3309597
3555000	-3311054.5
3560000	-3311378
3565000	-3309870.5
3570000	-3311800
3575000	-3311512.25
3580000	-3312280.5
3585000	-3311515.5
3590000	-3311826
3595000	-3311621
3600000	-3310885.75
3605000	-3311476.75
3610000	-3312992
3615000	-3310596.5
3620000	-3311211.5
3625000	-3311152
3630000	-3311671.5
3635000	-3310067.25
3640000	-3310297.5
3645000	-3312521.25
3650000	-3311328.5
3655000	-3310966.75
3660000	-3312734.25
3665000	-3311502
3670000	-3312189
3675000	-3310805.75
3680000	-3314502
3685000	-3312279.25
3690000	-3314695
3695000	-3313839
3700000	-3314433.5
3705000	-3313452.75
3710000	-3313512
3715000	-3312377.5
3720000	-3314953.5
3725000	-3311773
3730000	-3312798.75
3735000	-3312156.5
3740000	-3315698.25
3745000	-3313630
3750000	-3314066.25
3755000	-3312302.5
3760000	-3313304.75
3765000	-3316432
3770000	-3313010
3775000	-3313753
3780000	-3314925
3785000	-3311595
3790000	-3312684.5
3795000	-3312536
3800000	-3313456
3805000	-3313079.25
3810000	-3314269.25
3815000	-3314181.25
3820000	-3315333.5
3825000	-3314707.75
3830000	-3313577.5
3835000	-3313242.5
3840000	-3312926.5
3845000	-3311086.5
3850000	-3313090.5
3855000	-3314101
3860000	-3315928.5
3865000	-3312393.5
3870000	-3313963.5
3875000	-3312790.5
3880000	-3311755.75
3885000	-3313690.5
3890000	-3312474.75
3895000	-3313620.75
3900000	-3314779.5
3905000	-3313547
3910000	-3311976.25
3915000	-3313971
3920000	-3312321.75
3925000	-3314598.5
3930000	-3313261.75
3935000	-3314565
3940000	-3312890
3945000	-3314365.25
3950000	-3313134.25
3955000	-3312811.5
3960000	-3314365.75
3965000	-3312172.5
3970000	-3314728.75
3975000	-3315156
3980000	-3314076.5
3985000	-3313022
3990000	-3313647.75
3995000	-3329982
4000000	-3338617
4005000	-3342620.25
4010000	-3341838
4015000	-3344131
4020000	-3343585.5
4025000	-3342739.5
4030000	-3342544.25
4035000	-3345100
4040000	-3341795.5
4045000	-3342308.5
4050000	-3345172.5
4055000	-3343029.5
4060000	-3344831.75
4065000	-3344733.5
4070000	-3344792.5
4075000	-3342803
4080000	-3343089.5
4085000	-3343108
4090000	-3344788.25
4095000	-3344214.5
4100000	-3342657
4105000	-3345417
4110000	-3344727.75
4115000	-3344790.25
4120000	-3345070
4125000	-3346066
4130000	-3345788
4135000	-3343511
4140000	-3346250.75
4145000	-3344774.5
4150000	-3345458
4155000	-3342662
4160000	-3342463.5
4165000	-3342939.25
4170000	-3343092.5
4175000	-3343330.75
4180000	-3344208.75
4185000	-3344495.5
4190000	-3346309
4195000	-3344252.5
4200000	-3344820
4205000	-3347074.75
4210000	-3344397
4215000	-3345297.5
4220000	-3344274
4225000	-3344843.25
4230000	-3343465
4235000	-3343099.25
4240000	-3344858
4245000	-3345205.5
4250000	-3343444.5
4255000	-3342070.75
4260000	-3344756.75
4265000	-3345610
4270000	-3345609.25
4275000	-3345943.75
4280000	-3343367
4285000	-3346348
4290000	-3344618.5
4295000	-3345111.25
4300000	-3345173
4305000	-3344332
4310000	-3345589
4315000	-3341957.5
4320000	-3344459.75
4325000	-3344539.25
4330000	-3344956
4335000	-3343279.5
4340000	-3345293.5
4345000	-3345508
4350000	-3345338.5
4355000	-3343189.5
4360000	-3345145
4365000	-3344338.75
4370000	-3343319.75
4375000	-3346201.5
4380000	-3343744.25
4385000	-3345270.5
4390000	-3344573.25
4395000	-3346228.25
4400000	-3342997.5
4405000	-3345359
4410000	-3346459.5
4415000	-3345227
4420000	-3346023
4425000	-3345792.5
4430000	-3346869
4435000	-3344541
4440000	-3343520
4445000	-3345957.5
4450000	-3347269.5
4455000	-3344438.5
4460000	-3346164.25
4465000	-3342312.25
4470000	-3346434
4475000	-3342979.5
4480000	-3344891.5
4485000	-3342895.25
4490000	-3344686.5
4495000	-3345806.25
4500000	-3342907.75
4505000	-3344406
4510000	-3344708
4515000	-3344900
4520000	-3345394.5
4525000	-3344402.25
4530000	-3344792.5
4535000	-3345809.75
4540000	-3345475.25
4545000	-3345827
4550000	-3346615.5
4555000	-3344624.5
4560000	-3355926.75
4565000	-3360233.5
4570000	-3363274.5
4575000	-3360956
4580000	-3362460.75
4585000	-3360198.5
4590000	-3362377.25
4595000	-3363407
4600000	-3362940.5
4605000	-3363241.5
4610000	-3361896
4615000	-3362660.25
4620000	-3363381
4625000	-3362159.25
4630000	-3363281.75
4635000	-3360564.25
4640000	-3362030.5
4645000	-3364040.5
4650000	-3362406.25
4655000	-3361973.5
4660000	-3362592.5
4665000	-3360939
4670000	-3363269.5
4675000	-3362832
4680000	-3362276.25
4685000	-3361052.5
4690000	-3362896.5
4695000	-3363312.75
4700000	-3363192.75
4705000	-3361485.25
4710000	-3361016
4715000	-3362715
4720000	-3361740.5
