Atomic number,Element symbol,Element name,Atomic concentration percentage,Weight concentration percentage,Energy level
6,C,Carbon,0.354219,0.209045,15000
7,N,Nitrogen,0.0175184,0.0120603,15000
8,O,Oxygen,0.302956,0.238191,15000
11,Na,Sodium,0.147615,0.166834,15000
14,Si,Silicon,0.0393181,0.0542714,15000
17,Cl,Chlorine,0.0824799,0.143719,15000
28,Ni,Nickel,0.0491367,0.141709,15000
45,Rh,Rhodium,0.00675729,0.0341709,15000
