Atomic number,Element symbol,Element name,Atomic concentration percentage,Weight concentration percentage,Energy level
6,C,Carbon,0.246346,0.134865,15000
8,O,Oxygen,0.473926,0.345654,15000
11,Na,Sodium,0.0266799,0.027972,15000
14,Si,Silicon,0.118589,0.151848,15000
15,P,Phosphorus,0.00707413,0.00999001,15000
17,Cl,Chlorine,0.0105067,0.016983,15000
28,Ni,Nickel,0.116878,0.312687,15000
