timestep	potential_energy
0	144.7851257
5000	-0.2900925577
10000	0.1675224304
15000	-0.1610552371
20000	-0.1863816231
25000	-0.1957474649
30000	-0.2249021679
35000	1.132988811
40000	-0.2625790238
45000	-0.3785608411
50000	-0.03087915853
55000	-0.1789725125
60000	-0.3769288063
65000	-0.3810270429
70000	-0.2112731487
75000	-0.1067863032
80000	-0.3515206575
85000	0.03157472983
90000	-0.2034145892
95000	-0.1998414099
100000	-0.1883566231
105000	0.161853075
110000	-0.08405815065
115000	0.09883974493
120000	1.523059249
125000	-0.09785974771
130000	-0.2807389796
135000	-0.1405546665
140000	-0.1043588296
145000	-0.2882894874
150000	0.6221400499
155000	-0.5228700638
160000	0.6721484065
165000	-0.2343054265
170000	-0.4046581984
175000	-0.2866537571
180000	-0.2709584832
185000	-0.2229594141
190000	-0.3184425831
195000	-0.394964546
200000	-0.2170916051
205000	-0.2449880242
210000	-0.05408076569
215000	-0.3258521557
220000	0.2319896668
225000	-0.02241513133
230000	-0.1487550288
235000	-0.2853477299
240000	-0.2381400168
245000	1.515846848
250000	1.461663723
255000	-0.3142558336
260000	-0.2183613479
265000	-0.1414690018
270000	-0.03769798577
275000	1.88338232
280000	-0.3439362049
285000	-0.2550667524
290000	-0.2510848343
295000	-0.2494478226
300000	-0.4275604486
305000	0.1147595569
310000	-0.1746935844
315000	0.1270042807
320000	-0.2313141525
325000	0.04440222681
330000	0.3466286659
335000	-0.117961742
340000	-0.3025253713
345000	-0.4402455986
350000	-0.2162095308
355000	-0.175730601
360000	-0.1638880074
365000	-0.2376473695
370000	0.3603015244
375000	-0.2178166658
380000	-0.09676691145
385000	-0.1316031069
390000	-0.279653132
395000	0.3922076225
400000	-0.4900607467
405000	-0.3599823117
410000	-0.1645503342
415000	-0.2011594027
420000	-0.1836364567
425000	-0.1722434461
430000	-0.2031928301
435000	-0.1334855855
440000	-0.1050346643
445000	-0.1462014765
450000	-0.1930666864
455000	-0.07998488843
460000	-0.307882905
465000	-0.472305268
470000	-0.2200461477
475000	-0.3968247175
480000	1.508505702
485000	0.5596656799
490000	-0.2216252536
495000	-0.02051699162
500000	0.4906054139
505000	-0.2053160071
510000	0.1425365359
515000	-0.039824754
520000	-0.2613421679
525000	-0.2585527301
530000	-0.3270267546
535000	-0.07004354894
540000	-0.02350746654
545000	-0.2222439051
550000	-0.02985314094
555000	-0.1953928918
560000	-0.203707397
565000	-0.03743036091
570000	-0.1563208997
575000	-0.1103276536
580000	-0.2508480549
585000	-0.243595466
590000	-0.4113400578
595000	-0.1461772323
600000	0.2952651381
605000	-0.2802877426
610000	-0.2707850337
615000	-0.04512671754
620000	0.1900344789
625000	-0.07627527416
630000	-0.2408836335
635000	-0.3335028291
640000	-0.1248444915
645000	-0.300763309
650000	-0.2397060096
655000	-0.2818490863
660000	-0.1683033258
665000	1.702198982
670000	0.5834290981
675000	0.02785655856
680000	0.1474159211
685000	-0.06855275482
690000	-0.2145244777
695000	0.02610514313
700000	-0.369780004
705000	0.2918717861
710000	-0.3858893514
715000	0.1551034153
720000	1.139277577
