timestep	potential_energy
0	-5201.648926
5000	-20885.52734
10000	-33609.8125
15000	-45020.3125
20000	-56853.65625
25000	-63553.07031
30000	-72534.75781
35000	-84405.70312
40000	-93482.375
45000	-100924.6094
50000	-108244.8672
55000	-116486.8438
60000	-125232.2656
65000	-135134.1562
70000	-145285.4688
75000	-155668.3125
80000	-162761.1562
85000	-170405.875
90000	-178812.5
95000	-187557.9688
100000	-194499.5625
105000	-201060.875
110000	-209183.0938
115000	-216405.3438
120000	-226807.1406
125000	-233112.8125
130000	-240915.5156
135000	-248051.0625
140000	-258208.1875
145000	-262902.8438
150000	-270647.375
155000	-279752
160000	-285830.3125
165000	-290721.7188
170000	-297911.4375
175000	-303448.375
180000	-312032.75
185000	-319545.9688
190000	-327047.1875
195000	-335308.625
200000	-343777.25
205000	-351079.4375
210000	-359843.2812
215000	-364812.9375
220000	-373532.125
225000	-379071.5312
230000	-384817.5312
235000	-390879.5625
240000	-395778.625
245000	-403226.4375
250000	-410268.25
255000	-418778.5625
260000	-425416.3125
265000	-431732.875
270000	-440338.5
275000	-445767
280000	-453227.8438
285000	-461753.4375
290000	-467829.75
295000	-479934.3125
300000	-490316.25
305000	-500296
310000	-503041.0625
315000	-509929.1562
320000	-517356.3438
325000	-523486.5938
330000	-532008.3125
335000	-541362.75
340000	-547881.375
345000	-552696.625
350000	-560330.875
355000	-569260.625
360000	-574525.625
365000	-577166.75
370000	-585423.5
375000	-590206.75
380000	-597733.5
385000	-605553.875
390000	-609934.4375
395000	-617064.0625
400000	-622809.25
405000	-630572.0625
410000	-635171.0625
415000	-642007.75
420000	-646040.625
425000	-653239.5625
430000	-663902
435000	-666540.0625
440000	-671416.75
445000	-678002.875
450000	-681920.125
455000	-687676.6875
460000	-693797.5
465000	-696892.4375
470000	-706268.375
475000	-712554.8125
480000	-717019.5625
485000	-720762.1875
490000	-729486.625
495000	-732938.875
500000	-737885
505000	-744170.4375
510000	-746374.875
515000	-749662
520000	-760200.9375
525000	-764429.375
530000	-769565.75
535000	-776736.75
540000	-780455.625
545000	-783010.125
550000	-789022.9375
555000	-795527.375
560000	-797962.0625
565000	-807395.4375
570000	-812988.625
575000	-822354.875
580000	-827009.8125
585000	-833670.1875
590000	-838142.875
595000	-842181.625
600000	-850996.75
605000	-853985.5625
610000	-858378.125
615000	-862216.5
620000	-867073.625
625000	-872102.5625
630000	-881231.6875
635000	-887829.875
640000	-890699.625
645000	-894632.25
650000	-897341.875
655000	-902515.5
660000	-909661.6875
665000	-915084.75
670000	-921261.375
675000	-926042.375
680000	-928500.3125
685000	-931409.125
690000	-934262.25
695000	-941895.25
700000	-945687.5
705000	-953897.875
710000	-960701.875
715000	-962614.25
720000	-964960.25
725000	-969755.125
730000	-972134.9375
735000	-980896.4375
740000	-985397.25
745000	-992330.125
750000	-996134.8125
755000	-1006501.875
760000	-1012096.875
765000	-1019722.75
770000	-1024062.562
775000	-1029891.062
780000	-1033159.875
785000	-1034772.188
790000	-1039955.188
795000	-1045804.375
800000	-1053154.75
805000	-1056823.5
810000	-1064512
815000	-1072529.25
820000	-1079159.5
825000	-1082512.75
830000	-1087188.5
835000	-1091952
840000	-1099890.125
845000	-1104203.5
850000	-1106981.875
855000	-1110259.25
860000	-1118138.25
865000	-1124627
870000	-1130510.75
875000	-1135191
880000	-1146933.25
885000	-1150520
890000	-1153239.25
895000	-1157056.125
900000	-1158639.5
905000	-1162678.25
910000	-1170853.75
915000	-1173718.5
920000	-1175395
925000	-1180723
930000	-1184627.5
935000	-1189282.25
940000	-1198030.5
945000	-1201618
950000	-1203970
955000	-1205292.75
960000	-1207538.625
965000	-1211630.375
970000	-1214828.75
975000	-1218758.75
980000	-1223351.25
985000	-1229626
990000	-1231286.75
995000	-1236282.25
1000000	-1240668.5
1005000	-1243431.625
1010000	-1245881.25
1015000	-1252538
1020000	-1253473.625
1025000	-1254710.875
1030000	-1259452.25
1035000	-1260092
1040000	-1263654.75
1045000	-1271139
1050000	-1278601.5
1055000	-1282985.5
1060000	-1285492.25
1065000	-1288237.375
1070000	-1288746.5
1075000	-1291193
1080000	-1293531.125
1085000	-1297117.25
1090000	-1300132
1095000	-1303412.625
1100000	-1313554.25
1105000	-1325382.25
1110000	-1329969.875
1115000	-1336751.25
1120000	-1341536.125
1125000	-1347649.75
1130000	-1352650.75
1135000	-1355298.5
1140000	-1364414.25
