timestep	potential_energy
0	-103437.75
5000	-2232775
10000	-2488289
15000	-2572386.25
20000	-2647781.5
25000	-2727021
30000	-2774937.5
35000	-2804105.75
40000	-2843682
45000	-2876205
50000	-2911224
55000	-2929944.75
60000	-2967033
65000	-2993730
70000	-3005861.5
75000	-3024215
80000	-3041514.5
85000	-3048060.75
90000	-3063477.25
95000	-3102405
100000	-3112429.5
105000	-3141946.75
110000	-3171402.5
115000	-3177185.5
120000	-3187602.5
125000	-3210367.5
130000	-3214378.75
135000	-3226210
140000	-3243729.25
145000	-3254545.75
150000	-3274225
155000	-3296304.5
160000	-3312997
165000	-3328901
170000	-3349564
175000	-3378415.25
180000	-3397774.5
185000	-3411282.75
190000	-3417147
195000	-3434157.5
200000	-3437251
205000	-3437359.5
210000	-3444336.5
215000	-3447187.75
220000	-3454016.5
225000	-3466939.5
230000	-3473818.5
235000	-3473833.25
240000	-3479893.5
245000	-3488904.5
250000	-3489562.5
255000	-3489706.5
260000	-3500866
265000	-3518279.25
270000	-3519277
275000	-3524169.25
280000	-3528579.5
285000	-3530515
290000	-3540335.5
295000	-3547981.75
300000	-3548105.75
305000	-3551538.75
310000	-3554664
315000	-3554953.75
320000	-3554725
325000	-3554788.25
330000	-3566746.5
335000	-3566924
340000	-3567232.25
345000	-3567048.5
350000	-3566912
355000	-3573282.5
360000	-3576392.75
365000	-3579418.5
370000	-3582293.75
375000	-3586250.75
380000	-3590535.25
385000	-3597482.25
390000	-3606707
395000	-3615921
400000	-3625470
405000	-3627048.75
410000	-3630970.25
415000	-3645496
420000	-3660427
425000	-3669999.5
430000	-3670342.25
435000	-3670163.5
440000	-3670390
445000	-3674546
450000	-3683231
455000	-3684300.25
460000	-3692808.5
465000	-3693565.5
470000	-3698529.75
475000	-3699737
480000	-3701279
485000	-3701466.75
490000	-3701391.25
495000	-3701273.5
500000	-3701618
505000	-3701333
510000	-3708415.75
515000	-3716475
520000	-3721387.5
525000	-3721794.5
530000	-3721712.5
535000	-3723350.25
540000	-3726916
545000	-3743673.5
550000	-3744725.25
555000	-3745066
560000	-3753239.5
565000	-3754213
570000	-3765171
575000	-3775138
580000	-3776487.75
585000	-3776510.5
590000	-3776452
595000	-3776724.5
600000	-3790899.5
605000	-3803779.25
610000	-3810721.5
615000	-3817758.75
620000	-3817958.5
625000	-3818120
630000	-3817885.5
635000	-3828696.25
640000	-3833764.5
645000	-3833986.5
650000	-3839861.75
655000	-3844070
660000	-3845067.25
665000	-3846232.75
670000	-3846647.5
675000	-3846071.5
680000	-3846199.25
685000	-3846458.5
690000	-3846517
695000	-3846543.5
700000	-3846367.75
705000	-3846325.75
710000	-3846493.5
715000	-3846028.5
720000	-3846658.75
725000	-3846405
730000	-3846578.25
735000	-3846635.25
740000	-3853382.5
745000	-3853847
750000	-3854024.75
755000	-3853560.5
760000	-3853545
765000	-3853522.5
770000	-3853885
775000	-3853685.25
780000	-3872769.5
785000	-3877036.75
790000	-3877028
795000	-3877354.5
800000	-3877221.75
805000	-3877081.75
810000	-3877383.25
815000	-3877272.5
820000	-3879405.25
825000	-3888834.25
830000	-3893383
835000	-3904403.5
840000	-3907417.5
845000	-3907693.25
850000	-3907229.75
855000	-3907140.25
860000	-3907556.5
865000	-3914507
870000	-3915376.25
875000	-3915346.25
880000	-3924917
885000	-3924557.5
890000	-3925228.25
895000	-3924822.5
900000	-3932000
905000	-3933606.5
910000	-3936672.5
915000	-3962682.5
920000	-3967823.25
925000	-3967918.5
930000	-3968185.25
935000	-3967804
940000	-3967626
945000	-3968258.75
950000	-3977141.75
955000	-3979334.25
960000	-3979398.5
965000	-3979691
970000	-3979186.25
975000	-3979580.5
980000	-3979648.75
985000	-3979228
990000	-3979659
995000	-3993193
1000000	-3995391.5
1005000	-3995417.5
1010000	-3995347.25
1015000	-3995732.5
1020000	-3995560.5
1025000	-3995729
1030000	-3995312.75
1035000	-3995809.5
1040000	-3995414.5
1045000	-3995651.5
1050000	-3998622
1055000	-4001337
1060000	-4001055
1065000	-4001163
1070000	-4001291.75
1075000	-4001736.75
1080000	-4001503.75
1085000	-4001272
1090000	-4012708
1095000	-4015323.5
1100000	-4015450
1105000	-4015417.25
1110000	-4015352.5
1115000	-4015636.75
1120000	-4015625
1125000	-4015494
1130000	-4016078.25
1135000	-4015793.75
1140000	-4015783.5
1145000	-4015723
1150000	-4015704.5
1155000	-4015611.25
1160000	-4021172
1165000	-4023758.5
1170000	-4023900.5
1175000	-4023715.5
1180000	-4023605
1185000	-4023855
1190000	-4023558
1195000	-4023595.25
1200000	-4023994
1205000	-4034657.5
1210000	-4035064.25
1215000	-4035170.25
1220000	-4035462.5
1225000	-4035370.5
1230000	-4035651.75
1235000	-4035305.5
1240000	-4043797.5
1245000	-4050941
1250000	-4051066
1255000	-4051120
1260000	-4050927.5
1265000	-4051016.5
1270000	-4051253.25
1275000	-4051085
1280000	-4051041.5
1285000	-4051085
1290000	-4051329.5
1295000	-4050901.5
1300000	-4051237.5
1305000	-4051208
1310000	-4051085.5
1315000	-4050920
