################################################################################
# Data 1                          Data_0_00003.dat
# Data 2                          Data_0_00040.dat
# Transmission                    1.3475201812907562
# Weight                          1.0
# Smart_subtraction               True
# EDF_DataBlockID                 0.Image.Psd
# EDF_BinarySize                  4366944
# EDF_HeaderSize                  3072
# ByteOrder                       LowByteFirst
# DataType                        FloatValue
# Dim_1                           1028
# Dim_2                           1062
# Image                           0
# HeaderID                        EH:000000:000000:000000
# Size                            4366944
# Center_1                        629.9744
# Center_2                        651.0223
# Comment                         C2 - ESAXS_600s_55_mins
# DDummy                          0.6
# Date                            2025-04-01T19:19:47
# Delta                           0
# Dummy                           -1.5
# ExposureTime                    600
# Force                           -0.009793
# Gamma                           0
# Intensity1                      5.73227e-11
# JawsDistance                    0.000239
# JawsVelocity                    0
# PSize_1                         7.5e-05
# PSize_2                         7.5e-05
# SampleDistance                  1.8
# SampleEnvKind                   gisaxs
# SampleEnvPN                     Liquid Well
# SampleEnvSN                     665
# Strain                          3.41833e-05
# Stress                          -0.0163212
# Thickness                       0
# WaveLength                      1.541889e-10
# Wavelength                      1.54189e-10
# anaB                            0.000116274
# anaB_dial                       0.0123639
# anaPark                         2.4575
# anaPark_dial                    -2.4575
# anaXi                           -5.60284e-09
# anaXi_dial                      0
# anaZ                            8.96045e-08
# anaZ_dial                       2.98331
# b2c                             0
# b2c_dial                        0
# bioZ                            -3.00038
# bioZ_dial                       -1.34441
# det0x                           0
# det0x_dial                      7.79661
# det0xvd                         0
# det0xvd_dial                    0
# det0y                           1800
# det0y_dial                      -863.827
# det0z                           0
# det0z_dial                      5.50516
# det0zvd                         0
# det0zvd_dial                    0
# distana                         93.4
# distana_dial                    93.4
# dual                            -8.24014e-06
# dual_dial                       198.086
# mono1B                          2.86102e-09
# mono1B_dial                     -0.222
# mono2B                          -1.81198e-08
# mono2B_dial                     -1.844
# mono2X                          0.079375
# mono2X_dial                     0.0909375
# mono2Xi                         -0.18
# mono2Xi_dial                    -0.18
# monoZ                           -11
# monoZ_dial                      -0.249943
# om                              0.18
# om_dial                         0.12
# phi                             0.0140624
# phi_dial                        -0.00200892
# pm5                             0
# pm5_dial                        0
# qana                            0
# qana_dial                       0
# ry                              0
# ry_dial                         0.00149858
# s1bot                           0.35
# s1bot_dial                      -0.305781
# s1hl                            0.75
# s1hl_dial                       0.26875
# s1hr                            -0.25
# s1hr_dial                       -0.376875
# s1top                           0.15
# s1top_dial                      1.05344
# s2bot                           0.125
# s2bot_dial                      0.809688
# s2hl                            0.325
# s2hl_dial                       0.0759375
# s2hr                            -0.075
# s2hr_dial                       0.078125
# s2top                           0.125
# s2top_dial                      0.569063
# ttdeg                           0
# ttdeg_dial                      0
# wind                            67.9917
# wind_dial                       67.9917
# x                               -40
# x_dial                          -21.2694
# z                               3.00007
# z_dial                          3.73936
# CountCutoff                     1530246
# DetectorModel                   Dectris EIGER2 Si 1M, S/N E-02-0291
# ThresholdSetting                4023.88989258
# FlatField                       Corrected
# BackgroundReductionExtra        0.031
# Detector                        0
# Monitor                         0
# Pil_Roi0                        0
# SumForIntensity1                3.43936e+07
# det                             0
# mon                             0
# pilai0                          3.43936e+07
# pilai1                          0
# pilct0                          3.43946e+07
# pilct1                          0
# pilroi0                         3.43946e+07
# pilroi1                         0
# sec                             0.099
# title                           Data_0_00003.edf
# usaxs0                          36.0666
# Origin                          subtracted
# Thickness_correction            False
################################################################################
 q(A-1)                   I_subtracted(a.u.)         Sigma_I(a.u.)            
       0.000934                53885.4128                1421.50238           
       0.001104                88319.3719                996.550217           
       0.001273                40727.9869                642.849818           
       0.001443                37289.3057                445.965628           
       0.001613                21206.6895                274.968211           
       0.001783                9477.70306                170.652967           
       0.001953                 4243.3345                 107.04756           
       0.002122                2124.35562                61.3503471           
       0.002292                719.807677                43.2085945           
       0.002462                244.601374                 25.404673           
       0.002632                103.441722                17.5374125           
       0.002802                66.4449742                12.2569951           
       0.002971                72.3546256                8.21556634           
       0.003141                67.2732534                5.89405686           
       0.003311                52.3630671                3.92617515           
       0.003481                46.6204828                3.30022502           
       0.003651                38.2726334                2.72192411           
       0.003820                32.9668579                2.32904839           
       0.003990                26.6517749                2.05620532           
       0.004160                25.4460433                1.82765725           
       0.004330                20.8112935                1.70177225           
       0.004499                17.2445862                1.45386767           
       0.004669                17.9418104                1.48485311           
       0.004839                16.0823723                1.36459731           
       0.005009                13.6258512                1.24823388           
       0.005179                10.3199218                1.11927593           
       0.005348                11.8397346                1.09782035           
       0.005518                10.0900395               0.962020053           
       0.005688                9.74308166               0.986227866           
       0.005858                9.47033372               0.946443847           
       0.006028                8.20870338               0.873934961           
       0.006197                7.31491091               0.752022599           
       0.006367                6.80692108               0.751573933           
       0.006537                8.77077014               0.816864785           
       0.006707                8.86288627               0.825798277           
       0.006877                8.29302049               0.767617749           
       0.007046                8.53053362               0.758183991           
       0.007216                6.76319139               0.710337714           
       0.007386                7.52804857               0.691073338           
       0.007556                5.85685774               0.626042677           
       0.007726                7.71776214               0.684469526           
       0.007895                7.02378858               0.683081513           
       0.008065                6.81237906               0.669935331           
       0.008235                7.08272233               0.632632617           
       0.008405                8.11827884               0.675282892           
       0.008574                7.29900425               0.633213097           
       0.008744                 7.7116768               0.662421988           
       0.008914                8.10947782               0.670857392           
       0.009084                7.50735217               0.594085961           
       0.009254                  7.673378               0.648531539           
       0.009423                6.60534982               0.575169981           
       0.009593                8.27326983               0.636593151           
       0.009763                7.81849057               0.615915645           
       0.009933                6.50485198                0.55681101           
       0.010103                8.22382069               0.634425786           
       0.010272                8.95911464               0.630146769           
       0.010442                7.95054799               0.596710412           
       0.010612                8.39633943                0.59409669           
       0.010782                9.25237127               0.627188372           
       0.010952                8.20120092               0.609682066           
       0.011121                9.24595349               0.613579555           
       0.011291                9.16041954                0.62150159           
       0.011461                 8.3641158               0.582293867           
       0.011631                10.2818248               0.635402207           
       0.011800                8.42676824               0.585762068           
       0.011970                9.11341092               0.577483954           
       0.012140                9.24055203               0.601322083           
       0.012310                9.01411639               0.581937791           
       0.012480                9.37570523               0.592461635           
       0.012649                8.89340452               0.569539277           
       0.012819                9.16588369               0.573260311           
       0.012989                8.29713169               0.552052872           
       0.013159                9.54134336               0.577310574           
       0.013329                8.39573297               0.532761074           
       0.013498                9.60898415               0.571978336           
       0.013668                9.12094262               0.555097853           
       0.013838                8.67209402               0.548142092           
       0.014008                8.21552634               0.511431367           
       0.014178                7.21688105               0.488795116           
       0.014347                7.22799866               0.476406605           
       0.014517                6.74891223               0.465099027           
       0.014687                5.83550934               0.424872503           
       0.014857                6.26812148                0.43628603           
       0.015027                5.75745591               0.422516395           
       0.015196                 4.9766238               0.394744193           
       0.015366                4.96513874               0.390293648           
       0.015536                4.26090142               0.351710688           
       0.015706                4.58063341               0.367756156           
       0.015875                4.45977624               0.369657912           
       0.016045                3.89930299               0.333630272           
       0.016215                3.27818507                0.31357743           
       0.016385                3.59595648               0.320244117           
