################################################################################
# Data 1                          Data_0_00002.dat
# Data 2                          Data_0_00040.dat
# Transmission                    1.3519889796282976
# Weight                          1.0
# Smart_subtraction               True
# EDF_DataBlockID                 0.Image.Psd
# EDF_BinarySize                  4366944
# EDF_HeaderSize                  3072
# ByteOrder                       LowByteFirst
# DataType                        FloatValue
# Dim_1                           1028
# Dim_2                           1062
# Image                           0
# HeaderID                        EH:000000:000000:000000
# Size                            4366944
# Center_1                        629.9744
# Center_2                        651.0223
# Comment                         C2 - ESAXS_600s_45_mins
# DDummy                          0.6
# Date                            2025-04-01T19:08:47
# Delta                           0
# Dummy                           -1.5
# ExposureTime                    600
# Force                           -0.009793
# Gamma                           0
# Intensity1                      5.75128e-11
# JawsDistance                    0.000239
# JawsVelocity                    0
# PSize_1                         7.5e-05
# PSize_2                         7.5e-05
# SampleDistance                  1.8
# SampleEnvKind                   gisaxs
# SampleEnvPN                     Liquid Well
# SampleEnvSN                     665
# Strain                          3.41833e-05
# Stress                          -0.0163212
# Thickness                       0
# WaveLength                      1.541889e-10
# Wavelength                      1.54189e-10
# anaB                            0.000116274
# anaB_dial                       0.0123639
# anaPark                         2.4575
# anaPark_dial                    -2.4575
# anaXi                           -5.60284e-09
# anaXi_dial                      0
# anaZ                            8.96045e-08
# anaZ_dial                       2.98331
# b2c                             0
# b2c_dial                        0
# bioZ                            -3.00038
# bioZ_dial                       -1.34441
# det0x                           0
# det0x_dial                      7.79661
# det0xvd                         0
# det0xvd_dial                    0
# det0y                           1800
# det0y_dial                      -863.827
# det0z                           0
# det0z_dial                      5.50516
# det0zvd                         0
# det0zvd_dial                    0
# distana                         93.4
# distana_dial                    93.4
# dual                            -8.24014e-06
# dual_dial                       198.086
# mono1B                          2.86102e-09
# mono1B_dial                     -0.222
# mono2B                          -1.81198e-08
# mono2B_dial                     -1.844
# mono2X                          0.079375
# mono2X_dial                     0.0909375
# mono2Xi                         -0.18
# mono2Xi_dial                    -0.18
# monoZ                           -11
# monoZ_dial                      -0.249943
# om                              0.18
# om_dial                         0.12
# phi                             0.0140624
# phi_dial                        -0.00200892
# pm5                             0
# pm5_dial                        0
# qana                            0
# qana_dial                       0
# ry                              0
# ry_dial                         0.00149858
# s1bot                           0.35
# s1bot_dial                      -0.305781
# s1hl                            0.75
# s1hl_dial                       0.26875
# s1hr                            -0.25
# s1hr_dial                       -0.376875
# s1top                           0.15
# s1top_dial                      1.05344
# s2bot                           0.125
# s2bot_dial                      0.809688
# s2hl                            0.325
# s2hl_dial                       0.0759375
# s2hr                            -0.075
# s2hr_dial                       0.078125
# s2top                           0.125
# s2top_dial                      0.569063
# ttdeg                           0
# ttdeg_dial                      0
# wind                            67.9917
# wind_dial                       67.9917
# x                               -40
# x_dial                          -21.2694
# z                               3.00007
# z_dial                          3.73936
# CountCutoff                     1530246
# DetectorModel                   Dectris EIGER2 Si 1M, S/N E-02-0291
# ThresholdSetting                4023.88989258
# FlatField                       Corrected
# BackgroundReductionExtra        0.031
# Detector                        0
# Monitor                         0
# Pil_Roi0                        0
# SumForIntensity1                3.45077e+07
# det                             0
# mon                             0
# pilai0                          3.45077e+07
# pilai1                          0
# pilct0                          3.45086e+07
# pilct1                          0
# pilroi0                         3.45086e+07
# pilroi1                         0
# sec                             0.099
# title                           Data_0_00002.edf
# usaxs0                          44.0581
# Origin                          subtracted
# Thickness_correction            False
################################################################################
 q(A-1)                   I_subtracted(a.u.)         Sigma_I(a.u.)            
       0.000934                49886.0829                1419.31656           
       0.001104                90692.1102                996.032055           
       0.001273                38983.7557                641.755779           
       0.001443                37104.8381                445.433634           
       0.001613                21135.6083                274.646239           
       0.001783                9670.20901                170.619653           
       0.001953                 4502.1187                107.226078           
       0.002122                 2236.1978                61.4606252           
       0.002292                724.080313                43.1743211           
       0.002462                287.023551                  25.52044           
       0.002632                133.936852                 17.667033           
       0.002802                70.1299283                12.2698729           
       0.002971                49.2870332                7.99039319           
       0.003141                 52.003359                5.67494643           
       0.003311                53.0673047                3.93171283           
       0.003481                 49.612751                3.35623856           
       0.003651                41.4744071                2.78945079           
       0.003820                37.0125506                2.42925423           
       0.003990                32.5994125                2.21799166           
       0.004160                 24.545888                1.79994988           
       0.004330                25.0132246                1.82673006           
       0.004499                23.9065254                1.66891222           
       0.004669                18.3577755                  1.495867           
       0.004839                16.6010002                1.38043341           
       0.005009                17.3127834                1.37140256           
       0.005179                 14.202331                1.26540867           
       0.005348                13.4904027                1.15500172           
       0.005518                13.3020009                 1.0842009           
       0.005688                12.2547441                1.08405347           
       0.005858                9.83357113               0.959995511           
       0.006028                10.8667837               0.985228284           
       0.006197                10.5281309               0.886216705           
       0.006367                9.72382191               0.876177464           
       0.006537                9.35760272               0.839818641           
       0.006707                8.97778562               0.829350939           
       0.006877                10.0884131               0.839026043           
       0.007046                 8.5573239               0.758070281           
       0.007216                 7.9091571               0.760075495           
       0.007386                7.26678045               0.678618278           
       0.007556                 8.7365329               0.749096384           
       0.007726                 7.7431036               0.684411551           
       0.007895                9.34864549               0.775737887           
       0.008065                7.90628325               0.715638825           
       0.008235                8.57722884               0.690753851           
       0.008405                9.17286638               0.715184651           
       0.008574                6.90979001               0.616023949           
       0.008744                8.58874846               0.695605781           
       0.008914                8.44669562               0.682896236           
       0.009084                10.0957922               0.685915943           
       0.009254                7.53869769               0.642138475           
       0.009423                9.19281127               0.671117407           
       0.009593                8.24532986               0.634505128           
       0.009763                7.97887082               0.620915328           
       0.009933                8.82184005               0.641162913           
       0.010103                8.24834826               0.634307047           
       0.010272                9.14614785               0.635508883           
       0.010442                9.36684708               0.644255457           
       0.010612                9.93459793               0.644353411           
       0.010782                8.22523588               0.590940259           
       0.010952                8.88118912               0.632992359           
       0.011121                9.80082576               0.630035492           
       0.011291                8.40733017               0.595582771           
       0.011461                8.88794699               0.598814855           
       0.011631                 9.0103803               0.594566785           
       0.011800                8.67045689               0.592950395           
       0.011970                8.50964304               0.557548851           
       0.012140                8.45174417               0.574754415           
       0.012310                8.50803149               0.564741732           
       0.012480                9.78683008               0.604050447           
       0.012649                8.73360038               0.563683857           
       0.012819                8.54429767               0.553074063           
       0.012989                8.38046719               0.553854185           
       0.013159                7.65707376               0.517308666           
       0.013329                8.20191959               0.525765517           
       0.013498                7.59846707               0.509801451           
       0.013668                8.07234113               0.522045614           
       0.013838                7.69596235               0.516228439           
       0.014008                7.28241481               0.481237797           
       0.014178                6.06234961               0.448094677           
       0.014347                5.92948562               0.431017332           
       0.014517                5.65441386               0.425445044           
       0.014687                5.28955134               0.404095085           
       0.014857                5.83320953                0.42059068           
       0.015027                4.90728753               0.389486168           
       0.015196                 4.9320746               0.392428564           
       0.015366                5.33361267               0.403574237           
       0.015536                4.41852935                0.35742807           
       0.015706                3.70610285               0.331305092           
       0.015875                5.08577352               0.392908498           
       0.016045                3.41994944               0.312459746           
       0.016215                3.78746475               0.334695996           
