################################################################################
# Data 1                          Data_0_00001.dat
# Data 2                          Data_0_00040.dat
# Transmission                    1.3573181568146238
# Weight                          1.0
# Smart_subtraction               True
# EDF_DataBlockID                 0.Image.Psd
# EDF_BinarySize                  4366944
# EDF_HeaderSize                  3072
# ByteOrder                       LowByteFirst
# DataType                        FloatValue
# Dim_1                           1028
# Dim_2                           1062
# Image                           0
# HeaderID                        EH:000000:000000:000000
# Size                            4366944
# Center_1                        629.9744
# Center_2                        651.0223
# Comment                         C2 - ESAXS_600s_35_mins
# DDummy                          0.6
# Date                            2025-04-01T18:57:44
# Delta                           0
# Dummy                           -1.5
# ExposureTime                    600
# Force                           -0.009793
# Gamma                           0
# Intensity1                      5.77395e-11
# JawsDistance                    0.000239
# JawsVelocity                    0
# PSize_1                         7.5e-05
# PSize_2                         7.5e-05
# SampleDistance                  1.8
# SampleEnvKind                   gisaxs
# SampleEnvPN                     Liquid Well
# SampleEnvSN                     665
# Strain                          3.41833e-05
# Stress                          -0.0163212
# Thickness                       0
# WaveLength                      1.541889e-10
# Wavelength                      1.54189e-10
# anaB                            0.000116274
# anaB_dial                       0.0123639
# anaPark                         2.4575
# anaPark_dial                    -2.4575
# anaXi                           -5.60284e-09
# anaXi_dial                      0
# anaZ                            8.96045e-08
# anaZ_dial                       2.98331
# b2c                             0
# b2c_dial                        0
# bioZ                            -3.00038
# bioZ_dial                       -1.34441
# det0x                           0
# det0x_dial                      7.79661
# det0xvd                         0
# det0xvd_dial                    0
# det0y                           1800
# det0y_dial                      -863.827
# det0z                           0
# det0z_dial                      5.50516
# det0zvd                         0
# det0zvd_dial                    0
# distana                         93.4
# distana_dial                    93.4
# dual                            -8.24014e-06
# dual_dial                       198.086
# mono1B                          2.86102e-09
# mono1B_dial                     -0.222
# mono2B                          -1.81198e-08
# mono2B_dial                     -1.844
# mono2X                          0.079375
# mono2X_dial                     0.0909375
# mono2Xi                         -0.18
# mono2Xi_dial                    -0.18
# monoZ                           -11
# monoZ_dial                      -0.249943
# om                              0.18
# om_dial                         0.12
# phi                             0.0140624
# phi_dial                        -0.00200892
# pm5                             0
# pm5_dial                        0
# qana                            0
# qana_dial                       0
# ry                              0
# ry_dial                         0.00149858
# s1bot                           0.35
# s1bot_dial                      -0.305781
# s1hl                            0.75
# s1hl_dial                       0.26875
# s1hr                            -0.25
# s1hr_dial                       -0.376875
# s1top                           0.15
# s1top_dial                      1.05344
# s2bot                           0.125
# s2bot_dial                      0.809688
# s2hl                            0.325
# s2hl_dial                       0.0759375
# s2hr                            -0.075
# s2hr_dial                       0.078125
# s2top                           0.125
# s2top_dial                      0.569063
# ttdeg                           0
# ttdeg_dial                      0
# wind                            67.9917
# wind_dial                       67.9917
# x                               -40
# x_dial                          -21.2694
# z                               3.00007
# z_dial                          3.73936
# CountCutoff                     1530246
# DetectorModel                   Dectris EIGER2 Si 1M, S/N E-02-0291
# ThresholdSetting                4023.88989258
# FlatField                       Corrected
# BackgroundReductionExtra        0.031
# Detector                        0
# Monitor                         0
# Pil_Roi0                        0
# SumForIntensity1                3.46437e+07
# det                             0
# mon                             0
# pilai0                          3.46437e+07
# pilai1                          0
# pilct0                          3.46446e+07
# pilct1                          0
# pilroi0                         3.46446e+07
# pilroi1                         0
# sec                             0.099
# title                           Data_0_00001.edf
# usaxs0                          55.063
# Origin                          subtracted
# Thickness_correction            False
################################################################################
 q(A-1)                   I_subtracted(a.u.)         Sigma_I(a.u.)            
       0.000934                43263.4389                1416.38447           
       0.001104                88854.8114                994.532049           
       0.001273                39447.9508                641.092879           
       0.001443                 37551.837                445.062597           
       0.001613                21637.6744                274.560857           
       0.001783                9938.66382                170.608914           
       0.001953                 4630.9406                107.235242           
       0.002122                2190.17157                61.3119699           
       0.002292                747.042138                 43.177833           
       0.002462                259.063537                25.3957885           
       0.002632                134.070061                17.6459438           
       0.002802                80.6922182                12.3276174           
       0.002971                62.9363351                8.10845813           
       0.003141                72.8290469                5.95352726           
       0.003311                53.9186673                3.93842807           
       0.003481                49.7258394                3.35297882           
       0.003651                42.0860922                2.79814974           
       0.003820                36.6961179                2.41699413           
       0.003990                31.3989082                 2.1818009           
       0.004160                25.6480555                1.82721953           
       0.004330                 23.520347                1.77926295           
       0.004499                24.8410334                1.69399849           
       0.004669                20.9999916                1.57455714           
       0.004839                21.4206875                1.53425665           
       0.005009                20.0673115                1.45516587           
       0.005179                16.7362233                1.35071688           
       0.005348                15.4237858                1.21808716           
       0.005518                15.3414551                1.15370183           
       0.005688                14.5563952                1.16551235           
       0.005858                12.8406809                1.07426434           
       0.006028                13.0205552                1.06581236           
       0.006197                11.2360623               0.911607471           
       0.006367                11.4432844               0.940707175           
       0.006537                 10.204997               0.871993613           
       0.006707                 10.125746               0.874875983           
       0.006877                10.6931463               0.860465876           
       0.007046                10.2031345               0.821561905           
       0.007216                8.84446395                0.79767775           
       0.007386                9.06736466               0.751864051           
       0.007556                8.93030457               0.755272673           
       0.007726                8.11105189               0.698019846           
       0.007895                8.66787231               0.748085902           
       0.008065                9.76122002               0.787123857           
       0.008235                8.75222776               0.696012704           
       0.008405                 9.4619586               0.724611019           
       0.008574                8.02537091               0.660024516           
       0.008744                9.76782901               0.737731697           
       0.008914                8.14164128               0.669738911           
       0.009084                9.13503044               0.651736637           
       0.009254                10.7286364               0.757268985           
       0.009423                8.18403166                 0.6338879           
       0.009593                8.39965292               0.639017191           
       0.009763                9.14351127               0.661579855           
       0.009933                8.30569135               0.621987701           
       0.010103                10.0170031               0.696104242           
       0.010272                8.07289832               0.596715894           
       0.010442                8.40015275               0.610381509           
       0.010612                9.60993291               0.632646561           
       0.010782                9.02346496               0.617274925           
       0.010952                9.55803884               0.655016163           
       0.011121                8.39680094               0.583727632           
       0.011291                8.16809353               0.586316968           
       0.011461                8.65625542               0.589999613           
       0.011631                9.33169466               0.603690706           
       0.011800                8.75170884               0.594484614           
       0.011970                7.98188588                0.53935363           
       0.012140                9.24614172               0.599344871           
       0.012310                9.13226621               0.583568123           
       0.012480                7.78452383               0.539080542           
       0.012649                8.51817673               0.555894882           
       0.012819                6.94233281               0.499095844           
       0.012989                7.37734004                0.51931822           
       0.013159                8.24389005               0.535350449           
       0.013329                7.13690635               0.489829568           
       0.013498                6.61433705               0.476044814           
       0.013668                7.02168978                0.48677316           
       0.013838                7.02540522               0.492835244           
       0.014008                6.38088052               0.450188427           
       0.014178                5.48945929               0.426084488           
       0.014347                6.08521528               0.435751134           
       0.014517                4.62331359               0.384482803           
       0.014687                5.54364516               0.412752443           
       0.014857                5.16191604               0.395587941           
       0.015027                4.45263373               0.370313329           
       0.015196                4.94343301               0.392100926           
       0.015366                4.68984034               0.378180539           
       0.015536                4.42711424               0.357070754           
       0.015706                4.43318427               0.360657364           
       0.015875                3.84919316               0.343546998           
       0.016045                3.84631791               0.330223468           
       0.016215                3.50192101               0.322137546           
       0.016385                4.16363075               0.342418635           
