################################################################################
# Data 1                          Data_0_00024.dat
# Data 2                          Data_0_00040.dat
# Transmission                    1.4366610718533877
# Weight                          1.0
# Smart_subtraction               True
# EDF_DataBlockID                 0.Image.Psd
# EDF_BinarySize                  4366944
# EDF_HeaderSize                  3072
# ByteOrder                       LowByteFirst
# DataType                        FloatValue
# Dim_1                           1028
# Dim_2                           1062
# Image                           0
# HeaderID                        EH:000000:000000:000000
# Size                            4366944
# Center_1                        629.9744
# Center_2                        651.0223
# Comment                         C2 - ESAXS_600s_265_mins
# DDummy                          0.6
# Date                            2025-04-01T23:12:47
# Delta                           0
# Dummy                           -1.5
# ExposureTime                    600
# Force                           -0.009793
# Gamma                           0
# Intensity1                      6.11147e-11
# JawsDistance                    0.000239
# JawsVelocity                    0
# PSize_1                         7.5e-05
# PSize_2                         7.5e-05
# SampleDistance                  1.8
# SampleEnvKind                   gisaxs
# SampleEnvPN                     Liquid Well
# SampleEnvSN                     665
# Strain                          3.41833e-05
# Stress                          -0.0163212
# Thickness                       0
# WaveLength                      1.541889e-10
# Wavelength                      1.54189e-10
# anaB                            0.000116274
# anaB_dial                       0.0123639
# anaPark                         2.4575
# anaPark_dial                    -2.4575
# anaXi                           -5.60284e-09
# anaXi_dial                      0
# anaZ                            8.96045e-08
# anaZ_dial                       2.98331
# b2c                             0
# b2c_dial                        0
# bioZ                            -3.00038
# bioZ_dial                       -1.34441
# det0x                           0
# det0x_dial                      7.79661
# det0xvd                         0
# det0xvd_dial                    0
# det0y                           1800
# det0y_dial                      -863.827
# det0z                           0
# det0z_dial                      5.50516
# det0zvd                         0
# det0zvd_dial                    0
# distana                         93.4
# distana_dial                    93.4
# dual                            -8.24014e-06
# dual_dial                       198.086
# mono1B                          2.86102e-09
# mono1B_dial                     -0.222
# mono2B                          -1.81198e-08
# mono2B_dial                     -1.844
# mono2X                          0.079375
# mono2X_dial                     0.0909375
# mono2Xi                         -0.18
# mono2Xi_dial                    -0.18
# monoZ                           -11
# monoZ_dial                      -0.249943
# om                              0.18
# om_dial                         0.12
# phi                             0.0140624
# phi_dial                        -0.00200892
# pm5                             0
# pm5_dial                        0
# qana                            0
# qana_dial                       0
# ry                              0
# ry_dial                         0.00149858
# s1bot                           0.35
# s1bot_dial                      -0.305781
# s1hl                            0.75
# s1hl_dial                       0.26875
# s1hr                            -0.25
# s1hr_dial                       -0.376875
# s1top                           0.15
# s1top_dial                      1.05344
# s2bot                           0.125
# s2bot_dial                      0.809688
# s2hl                            0.325
# s2hl_dial                       0.0759375
# s2hr                            -0.075
# s2hr_dial                       0.078125
# s2top                           0.125
# s2top_dial                      0.569063
# ttdeg                           0
# ttdeg_dial                      0
# wind                            67.9917
# wind_dial                       67.9917
# x                               -40
# x_dial                          -21.2694
# z                               3.00007
# z_dial                          3.73936
# CountCutoff                     1530246
# DetectorModel                   Dectris EIGER2 Si 1M, S/N E-02-0291
# ThresholdSetting                4023.88989258
# FlatField                       Corrected
# BackgroundReductionExtra        0.031
# Detector                        0
# Monitor                         0
# Pil_Roi0                        0
# SumForIntensity1                3.66688e+07
# det                             0
# mon                             0
# pilai0                          3.66688e+07
# pilai1                          0
# pilct0                          3.66712e+07
# pilct1                          0
# pilroi0                         3.66712e+07
# pilroi1                         0
# sec                             0.099
# title                           Data_0_00024.edf
# usaxs0                          180.145
# Origin                          subtracted
# Thickness_correction            False
################################################################################
 q(A-1)                   I_subtracted(a.u.)         Sigma_I(a.u.)            
       0.000934                63412.1091                1395.68705           
       0.001104                88750.8615                978.257587           
       0.001273                48351.4016                632.208049           
       0.001443                42533.2748                439.208036           
       0.001613                24317.4728                271.055845           
       0.001783                11683.0843                168.878574           
       0.001953                5503.72554                106.249688           
       0.002122                2874.29299                61.2429059           
       0.002292                1251.31146                43.6036741           
       0.002462                604.567415                26.0408561           
       0.002632                368.957373                18.3923002           
       0.002802                245.850533                13.1581739           
       0.002971                192.551944                9.04806649           
       0.003141                179.941567                7.08371741           
       0.003311                136.768032                4.88943638           
       0.003481                115.232504                4.36131478           
       0.003651                93.2582482                3.65639748           
       0.003820                72.5117169                3.10743086           
       0.003990                68.9300766                2.94985942           
       0.004160                56.7201148                2.47225762           
       0.004330                48.0232501                2.33943101           
       0.004499                48.8377892                2.23996449           
       0.004669                38.0853529                1.96934843           
       0.004839                 40.238159                1.97756141           
       0.005009                 34.442441                1.79144422           
       0.005179                35.0771151                1.81561741           
       0.005348                32.7624976                1.64828701           
       0.005518                30.7580209                1.55005974           
       0.005688                30.0216913                1.57418558           
       0.005858                29.0481819                1.51475801           
       0.006028                29.2989898                1.51059512           
       0.006197                29.8209833                1.41166529           
       0.006367                27.9216643                 1.3876509           
       0.006537                28.2318279                1.37126805           
       0.006707                26.5037396                1.34363958           
       0.006877                25.5683815                1.26878052           
       0.007046                28.2119963                1.30310149           
       0.007216                28.1635434                1.33714214           
       0.007386                23.7446608                1.16413413           
       0.007556                28.5841827                1.27855308           
       0.007726                 26.162085                1.18986919           
       0.007895                23.9333071                1.17226683           
       0.008065                25.9795509                1.22055125           
       0.008235                24.2161884                1.10444279           
       0.008405                25.0489589                1.13524996           
       0.008574                28.4542566                1.18686082           
       0.008744                27.1762253                1.17598682           
       0.008914                27.3063981                1.17214546           
       0.009084                31.0884988                1.16140739           
       0.009254                28.1601499                1.17571457           
       0.009423                 31.262574                1.18014533           
       0.009593                 30.537073                 1.1733469           
       0.009763                 33.105754                1.20687955           
       0.009933                  32.59449                1.17162337           
       0.010103                37.4333185                1.29807001           
       0.010272                36.8608344                1.22805487           
       0.010442                38.6360012                1.24936677           
       0.010612                39.0949799                1.23364165           
       0.010782                42.5781022                 1.2953136           
       0.010952                43.9303017                1.35701087           
       0.011121                43.5348963                1.27077795           
       0.011291                44.4520173                1.30328452           
       0.011461                45.8684928                1.30679239           
       0.011631                49.0292553                 1.3346539           
       0.011800                49.6056893                1.35929358           
       0.011970                55.1559207                1.36322901           
       0.012140                57.0539742                1.43322494           
       0.012310                58.5496876                1.42538461           
       0.012480                58.2054715                1.41698046           
       0.012649                62.3332945                 1.4355322           
       0.012819                 60.664332                1.41325428           
       0.012989                59.5255498                1.42006175           
       0.013159                60.4965486                1.39868488           
       0.013329                56.3278666                1.33122717           
       0.013498                57.3157362                 1.3361157           
       0.013668                53.7579261                1.29417815           
       0.013838                54.0275842                1.31309299           
       0.014008                51.8441012                1.23549423           
       0.014178                49.3970548                1.22812552           
       0.014347                45.2716226                1.15232243           
       0.014517                43.4248843                1.13758248           
       0.014687                38.8850884                1.05675943           
       0.014857                35.6602842               0.997191813           
       0.015027                33.8320263                0.99127956           
       0.015196                30.2461033                0.92204137           
       0.015366                29.3711666               0.911729966           
       0.015536                  28.08108               0.866196706           
       0.015706                 24.543873               0.815376702           
       0.015875                22.9675066               0.796211942           
       0.016045                19.5798271               0.717158353           
       0.016215                18.8535275               0.703919091           
       0.016385                 17.211824               0.667669149           
