################################################################################
# Data 1                          Data_0_00034.dat
# Data 2                          Data_0_00040.dat
# Transmission                    1.398564624794896
# Weight                          1.0
# Smart_subtraction               True
# EDF_DataBlockID                 0.Image.Psd
# EDF_BinarySize                  4366944
# EDF_HeaderSize                  3072
# ByteOrder                       LowByteFirst
# DataType                        FloatValue
# Dim_1                           1028
# Dim_2                           1062
# Image                           0
# HeaderID                        EH:000000:000000:000000
# Size                            4366944
# Center_1                        629.9744
# Center_2                        651.0223
# Comment                         C2 - ESAXS_600s_365_mins
# DDummy                          0.6
# Date                            2025-04-02T01:04:31
# Delta                           0
# Dummy                           -1.5
# ExposureTime                    600
# Force                           -0.009793
# Gamma                           0
# Intensity1                      5.94941e-11
# JawsDistance                    0.000239
# JawsVelocity                    0
# PSize_1                         7.5e-05
# PSize_2                         7.5e-05
# SampleDistance                  1.8
# SampleEnvKind                   gisaxs
# SampleEnvPN                     Liquid Well
# SampleEnvSN                     665
# Strain                          3.41833e-05
# Stress                          -0.0163212
# Thickness                       0
# WaveLength                      1.541889e-10
# Wavelength                      1.54189e-10
# anaB                            0.000116274
# anaB_dial                       0.0123639
# anaPark                         2.4575
# anaPark_dial                    -2.4575
# anaXi                           -5.60284e-09
# anaXi_dial                      0
# anaZ                            8.96045e-08
# anaZ_dial                       2.98331
# b2c                             0
# b2c_dial                        0
# bioZ                            -3.00038
# bioZ_dial                       -1.34441
# det0x                           0
# det0x_dial                      7.79661
# det0xvd                         0
# det0xvd_dial                    0
# det0y                           1800
# det0y_dial                      -863.827
# det0z                           0
# det0z_dial                      5.50516
# det0zvd                         0
# det0zvd_dial                    0
# distana                         93.4
# distana_dial                    93.4
# dual                            -8.24014e-06
# dual_dial                       198.086
# mono1B                          2.86102e-09
# mono1B_dial                     -0.222
# mono2B                          -1.81198e-08
# mono2B_dial                     -1.844
# mono2X                          0.079375
# mono2X_dial                     0.0909375
# mono2Xi                         -0.18
# mono2Xi_dial                    -0.18
# monoZ                           -11
# monoZ_dial                      -0.249943
# om                              0.18
# om_dial                         0.12
# phi                             0.0140624
# phi_dial                        -0.00200892
# pm5                             0
# pm5_dial                        0
# qana                            0
# qana_dial                       0
# ry                              0
# ry_dial                         0.00149858
# s1bot                           0.35
# s1bot_dial                      -0.305781
# s1hl                            0.75
# s1hl_dial                       0.26875
# s1hr                            -0.25
# s1hr_dial                       -0.376875
# s1top                           0.15
# s1top_dial                      1.05344
# s2bot                           0.125
# s2bot_dial                      0.809688
# s2hl                            0.325
# s2hl_dial                       0.0759375
# s2hr                            -0.075
# s2hr_dial                       0.078125
# s2top                           0.125
# s2top_dial                      0.569063
# ttdeg                           0
# ttdeg_dial                      0
# wind                            67.9917
# wind_dial                       67.9917
# x                               -40
# x_dial                          -21.2694
# z                               3.00007
# z_dial                          3.73936
# CountCutoff                     1530246
# DetectorModel                   Dectris EIGER2 Si 1M, S/N E-02-0291
# ThresholdSetting                4023.88989258
# FlatField                       Corrected
# BackgroundReductionExtra        0.031
# Detector                        0
# Monitor                         0
# Pil_Roi0                        0
# SumForIntensity1                3.56965e+07
# det                             0
# mon                             0
# pilai0                          3.56965e+07
# pilai1                          0
# pilct0                          3.56996e+07
# pilct1                          0
# pilroi0                         3.56996e+07
# pilroi1                         0
# sec                             0.099
# title                           Data_0_00034.edf
# usaxs0                          283.104
# Origin                          subtracted
# Thickness_correction            False
################################################################################
 q(A-1)                   I_subtracted(a.u.)         Sigma_I(a.u.)            
       0.016555                25.8700727               0.838829745           
       0.016724                23.9379168               0.797219205           
       0.016894                22.6546147               0.756184534           
       0.017064                 22.048763               0.756056905           
       0.017234                20.8720076               0.731118454           
       0.017404                19.8869408               0.744170759           
       0.017573                18.0233326               0.688602169           
       0.017743                18.1140667               0.696371236           
       0.017913                15.9313836               0.658252259           
       0.018083                16.0282091               0.658145687           
       0.018253                15.5995076               0.658732478           
       0.018422                14.8393203                0.62192774           
       0.018592                15.1984015               0.643927069           
       0.018762                14.8330488               0.642758642           
       0.018932                13.9951733               0.606804495           
       0.019102                14.1868601               0.625197097           
       0.019271                13.6994759               0.600427296           
       0.019441                13.2390945               0.606058057           
       0.019611                12.6561956               0.589259404           
       0.019781                14.0100737               0.597505801           
       0.019950                 12.538245               0.584841378           
       0.020120                13.4274337               0.587842916           
       0.020290                12.3816192               0.581692545           
       0.020460                13.0388788               0.578825064           
       0.020630                13.3860475               0.590158262           
       0.020799                13.5615512               0.608076462           
       0.020969                13.0887003               0.574144298           
       0.021139                13.0618234               0.592693239           
       0.021309                11.9312533               0.546290923           
       0.021479                11.6411731               0.548003719           
       0.021648                12.5686279               0.579239224           
       0.021818                12.3955194               0.561918781           
       0.021988                13.0575112               0.577577609           
       0.022158                13.7034605               0.583426968           
       0.022328                13.1158375               0.580588731           
       0.022497                12.4181833               0.567906477           
       0.022667                 13.950859               0.583653256           
       0.022837                12.2923118               0.566515697           
       0.023007                12.7319225               0.558742461           
       0.023177                12.1574544               0.552410721           
       0.023346                11.3730951               0.523130737           
       0.023516                12.1142708               0.547062845           
       0.023686                 11.782317                0.53279971           
       0.023856                 10.652879               0.498446596           
       0.024025                10.4748639               0.486765614           
       0.024195                10.4942481               0.474013087           
       0.024365                10.0603295               0.470746431           
       0.024535                8.78217849               0.436496561           
       0.024705                10.0962788               0.470713011           
       0.024874                 9.2968116                 0.4416035           
       0.025044                8.92560028               0.428181228           
       0.025214                8.51605356               0.422813177           
       0.025384                8.05361179               0.406145909           
       0.025554                7.23502025               0.384623597           
       0.025723                6.92876681               0.372943092           
       0.025893                6.87944663               0.367272474           
       0.026063                6.82152368               0.369696168           
       0.026233                  5.733438               0.329304156           
       0.026403                5.42923855                0.32474779           
       0.026572                4.80185885               0.308234637           
       0.026742                4.26219226               0.288980904           
       0.026912                4.72838422               0.303231223           
       0.027082                4.34574622               0.280798999           
       0.027251                4.40783576                0.28722898           
       0.027421                3.58406434               0.261504908           
       0.027591                3.50346323               0.249875636           
       0.027761                3.38555148               0.249813266           
       0.027931                2.56062983               0.218448031           
       0.028100                2.86372494               0.230761208           
       0.028270                 2.8265939               0.225312962           
       0.028440                1.90103593               0.185494388           
       0.028610                2.15750379               0.201424782           
       0.028780                2.14816927               0.190913736           
       0.028949                2.28329207               0.201050976           
       0.029119                1.45676314               0.161849928           
       0.029289                1.45870169               0.166204759           
       0.029459                1.53376632               0.169495874           
       0.029629                1.42280849               0.154348055           
       0.029798               0.976936931               0.135908524           
       0.029968                1.20254132               0.143997147           
       0.030138                1.23669267               0.150809513           
       0.030308               0.960397121               0.135741136           
       0.030478               0.881348089               0.126115074           
       0.030647                1.00713327               0.135876918           
       0.030817                0.95929409               0.127709487           
       0.030987               0.741657917               0.113381937           
       0.031157               0.671687596               0.113513285           
       0.031326               0.861726968               0.120304256           
       0.031496               0.729701986                0.10956825           
       0.031666               0.469410709              0.0978812125           
       0.031836               0.635077665               0.107779806           
