################################################################################
# Data 1                          Data_0_00027.dat
# Data 2                          Data_0_00040.dat
# Transmission                    1.417699826513773
# Weight                          1.0
# Smart_subtraction               True
# EDF_DataBlockID                 0.Image.Psd
# EDF_BinarySize                  4366944
# EDF_HeaderSize                  3072
# ByteOrder                       LowByteFirst
# DataType                        FloatValue
# Dim_1                           1028
# Dim_2                           1062
# Image                           0
# HeaderID                        EH:000000:000000:000000
# Size                            4366944
# Center_1                        629.9744
# Center_2                        651.0223
# Comment                         C2 - ESAXS_600s_295_mins
# DDummy                          0.6
# Date                            2025-04-01T23:46:58
# Delta                           0
# Dummy                           -1.5
# ExposureTime                    600
# Force                           -0.009793
# Gamma                           0
# Intensity1                      6.03081e-11
# JawsDistance                    0.000239
# JawsVelocity                    0
# PSize_1                         7.5e-05
# PSize_2                         7.5e-05
# SampleDistance                  1.8
# SampleEnvKind                   gisaxs
# SampleEnvPN                     Liquid Well
# SampleEnvSN                     665
# Strain                          3.41833e-05
# Stress                          -0.0163212
# Thickness                       0
# WaveLength                      1.541889e-10
# Wavelength                      1.54189e-10
# anaB                            0.000116274
# anaB_dial                       0.0123639
# anaPark                         2.4575
# anaPark_dial                    -2.4575
# anaXi                           -5.60284e-09
# anaXi_dial                      0
# anaZ                            8.96045e-08
# anaZ_dial                       2.98331
# b2c                             0
# b2c_dial                        0
# bioZ                            -3.00038
# bioZ_dial                       -1.34441
# det0x                           0
# det0x_dial                      7.79661
# det0xvd                         0
# det0xvd_dial                    0
# det0y                           1800
# det0y_dial                      -863.827
# det0z                           0
# det0z_dial                      5.50516
# det0zvd                         0
# det0zvd_dial                    0
# distana                         93.4
# distana_dial                    93.4
# dual                            -8.24014e-06
# dual_dial                       198.086
# mono1B                          2.86102e-09
# mono1B_dial                     -0.222
# mono2B                          -1.81198e-08
# mono2B_dial                     -1.844
# mono2X                          0.079375
# mono2X_dial                     0.0909375
# mono2Xi                         -0.18
# mono2Xi_dial                    -0.18
# monoZ                           -11
# monoZ_dial                      -0.249943
# om                              0.18
# om_dial                         0.12
# phi                             0.0140624
# phi_dial                        -0.00200892
# pm5                             0
# pm5_dial                        0
# qana                            0
# qana_dial                       0
# ry                              0
# ry_dial                         0.00149858
# s1bot                           0.35
# s1bot_dial                      -0.305781
# s1hl                            0.75
# s1hl_dial                       0.26875
# s1hr                            -0.25
# s1hr_dial                       -0.376875
# s1top                           0.15
# s1top_dial                      1.05344
# s2bot                           0.125
# s2bot_dial                      0.809688
# s2hl                            0.325
# s2hl_dial                       0.0759375
# s2hr                            -0.075
# s2hr_dial                       0.078125
# s2top                           0.125
# s2top_dial                      0.569063
# ttdeg                           0
# ttdeg_dial                      0
# wind                            67.9917
# wind_dial                       67.9917
# x                               -40
# x_dial                          -21.2694
# z                               3.00007
# z_dial                          3.73936
# CountCutoff                     1530246
# DetectorModel                   Dectris EIGER2 Si 1M, S/N E-02-0291
# ThresholdSetting                4023.88989258
# FlatField                       Corrected
# BackgroundReductionExtra        0.031
# Detector                        0
# Monitor                         0
# Pil_Roi0                        0
# SumForIntensity1                3.61849e+07
# det                             0
# mon                             0
# pilai0                          3.61849e+07
# pilai1                          0
# pilct0                          3.61876e+07
# pilct1                          0
# pilroi0                         3.61876e+07
# pilroi1                         0
# sec                             0.099
# title                           Data_0_00027.edf
# usaxs0                          235.164
# Origin                          subtracted
# Thickness_correction            False
################################################################################
 q(A-1)                   I_subtracted(a.u.)         Sigma_I(a.u.)            
       0.000934                63401.7559                1401.30268           
       0.001104                95738.8171                983.286777           
       0.001273                53093.8316                635.907653           
       0.001443                44820.3415                 441.86135           
       0.001613                27029.4264                273.492641           
       0.001783                12895.7014                170.432942           
       0.001953                6260.09836                107.516275           
       0.002122                3362.69746                62.2246444           
       0.002292                1528.29198                44.4291004           
       0.002462                782.266362                26.6985032           
       0.002632                507.014775                19.0700076           
       0.002802                327.589029                13.7106667           
       0.002971                 262.26077                9.63064478           
       0.003141                218.242723                7.52250923           
       0.003311                 183.11609                5.41275184           
       0.003481                137.186021                4.69778752           
       0.003651                116.272217                4.02825535           
       0.003820                100.685564                 3.6126856           
       0.003990                82.7065123                3.21989915           
       0.004160                76.4093462                   2.84212           
       0.004330                64.9442772                2.69614531           
       0.004499                57.7245805                2.43828312           
       0.004669                52.3024331                2.28328035           
       0.004839                52.9076916                2.25990567           
       0.005009                47.2974762                2.08298158           
       0.005179                 44.229762                2.03240626           
       0.005348                38.5251613                1.78685232           
       0.005518                39.0729591                1.74884629           
       0.005688                36.5280092                1.73723128           
       0.005858                39.3769031                1.76066214           
       0.006028                37.8165366                1.71795183           
       0.006197                34.0573497                1.51584726           
       0.006367                34.0839938                1.53721215           
       0.006537                34.1037807                 1.5126966           
       0.006707                35.4314549                1.55766664           
       0.006877                35.5129522                1.49900841           
       0.007046                33.0823409                1.41807515           
       0.007216                33.2673353                  1.459071           
       0.007386                 30.184374                 1.3183243           
       0.007556                30.1524011                1.32092614           
       0.007726                32.3148085                1.32827361           
       0.007895                30.4845723                1.32646697           
       0.008065                32.6429282                1.37315903           
       0.008235                32.4363151                  1.283022           
       0.008405                34.8817925                1.34628757           
       0.008574                37.9579433                1.37738429           
       0.008744                34.7929759                1.33648609           
       0.008914                34.1552237                 1.3176129           
       0.009084                34.6121074                1.23327211           
       0.009254                36.4567092                 1.3437885           
       0.009423                40.8472125                1.35551928           
       0.009593                39.8735815                1.34852673           
       0.009763                39.6465309                1.32829512           
       0.009933                44.4248206                 1.3739812           
       0.010103                44.0759255                1.41729345           
       0.010272                44.4141079                1.35636906           
       0.010442                 47.897299                1.39886627           
       0.010612                48.8100738                1.38709937           
       0.010782                52.1603478                1.44276857           
       0.010952                54.9962205                1.52792776           
       0.011121                55.9171969                1.44845062           
       0.011291                 56.860205                1.48227126           
       0.011461                65.1927772                1.56716345           
       0.011631                66.0993191                 1.5592277           
       0.011800                66.7557521                1.58625677           
       0.011970                70.0198343                1.54557017           
       0.012140                73.7323299                1.63942463           
       0.012310                73.8093348                1.61056099           
       0.012480                74.9426971                1.61791488           
       0.012649                79.0680762                1.62651512           
       0.012819                77.3781803                1.60605246           
       0.012989                77.8112368                1.63385875           
       0.013159                77.4312659                1.59248236           
       0.013329                76.3214311                1.55961191           
       0.013498                76.3393411                 1.5512326           
       0.013668                68.6007709                1.47112663           
       0.013838                69.5767425                1.49943037           
       0.014008                 66.377406                1.40686397           
       0.014178                62.8211483                1.39376187           
       0.014347                57.0183432                1.30171575           
       0.014517                55.2967382                1.29201856           
       0.014687                50.3048023                 1.2097066           
       0.014857                46.8722676                 1.1502168           
       0.015027                44.6434072                 1.1462512           
       0.015196                38.5312703                1.04658098           
       0.015366                36.2203403                1.01887028           
       0.015536                31.5102562                0.92349248           
       0.015706                30.8549748               0.919801082           
       0.015875                29.1424145               0.901856708           
       0.016045                27.0774664               0.848392513           
       0.016215                24.3788448               0.804355954           
