################################################################################
# Data 1                          Data_0_00022.dat
# Data 2                          Data_0_00040.dat
# Transmission                    1.4627192673145368
# Weight                          1.0
# Smart_subtraction               True
# EDF_DataBlockID                 0.Image.Psd
# EDF_BinarySize                  4366944
# EDF_HeaderSize                  3072
# ByteOrder                       LowByteFirst
# DataType                        FloatValue
# Dim_1                           1028
# Dim_2                           1062
# Image                           0
# HeaderID                        EH:000000:000000:000000
# Size                            4366944
# Center_1                        629.9744
# Center_2                        651.0223
# Comment                         C2 - ESAXS_600s_245_mins
# DDummy                          0.6
# Date                            2025-04-01T22:50:37
# Delta                           0
# Dummy                           -1.5
# ExposureTime                    600
# Force                           -0.009793
# Gamma                           0
# Intensity1                      6.22232e-11
# JawsDistance                    0.000239
# JawsVelocity                    0
# PSize_1                         7.5e-05
# PSize_2                         7.5e-05
# SampleDistance                  1.8
# SampleEnvKind                   gisaxs
# SampleEnvPN                     Liquid Well
# SampleEnvSN                     665
# Strain                          3.41833e-05
# Stress                          -0.0163212
# Thickness                       0
# WaveLength                      1.541889e-10
# Wavelength                      1.54189e-10
# anaB                            0.000116274
# anaB_dial                       0.0123639
# anaPark                         2.4575
# anaPark_dial                    -2.4575
# anaXi                           -5.60284e-09
# anaXi_dial                      0
# anaZ                            8.96045e-08
# anaZ_dial                       2.98331
# b2c                             0
# b2c_dial                        0
# bioZ                            -3.00038
# bioZ_dial                       -1.34441
# det0x                           0
# det0x_dial                      7.79661
# det0xvd                         0
# det0xvd_dial                    0
# det0y                           1800
# det0y_dial                      -863.827
# det0z                           0
# det0z_dial                      5.50516
# det0zvd                         0
# det0zvd_dial                    0
# distana                         93.4
# distana_dial                    93.4
# dual                            -8.24014e-06
# dual_dial                       198.086
# mono1B                          2.86102e-09
# mono1B_dial                     -0.222
# mono2B                          -1.81198e-08
# mono2B_dial                     -1.844
# mono2X                          0.079375
# mono2X_dial                     0.0909375
# mono2Xi                         -0.18
# mono2Xi_dial                    -0.18
# monoZ                           -11
# monoZ_dial                      -0.249943
# om                              0.18
# om_dial                         0.12
# phi                             0.0140624
# phi_dial                        -0.00200892
# pm5                             0
# pm5_dial                        0
# qana                            0
# qana_dial                       0
# ry                              0
# ry_dial                         0.00149858
# s1bot                           0.35
# s1bot_dial                      -0.305781
# s1hl                            0.75
# s1hl_dial                       0.26875
# s1hr                            -0.25
# s1hr_dial                       -0.376875
# s1top                           0.15
# s1top_dial                      1.05344
# s2bot                           0.125
# s2bot_dial                      0.809688
# s2hl                            0.325
# s2hl_dial                       0.0759375
# s2hr                            -0.075
# s2hr_dial                       0.078125
# s2top                           0.125
# s2top_dial                      0.569063
# ttdeg                           0
# ttdeg_dial                      0
# wind                            67.9917
# wind_dial                       67.9917
# x                               -40
# x_dial                          -21.2694
# z                               3.00007
# z_dial                          3.73936
# CountCutoff                     1530246
# DetectorModel                   Dectris EIGER2 Si 1M, S/N E-02-0291
# ThresholdSetting                4023.88989258
# FlatField                       Corrected
# BackgroundReductionExtra        0.031
# Detector                        0
# Monitor                         0
# Pil_Roi0                        0
# SumForIntensity1                3.73339e+07
# det                             0
# mon                             0
# pilai0                          3.73339e+07
# pilai1                          0
# pilct0                          3.73359e+07
# pilct1                          0
# pilroi0                         3.73359e+07
# pilroi1                         0
# sec                             0.099
# title                           Data_0_00022.edf
# usaxs0                          141.962
# Origin                          subtracted
# Thickness_correction            False
################################################################################
 q(A-1)                   I_subtracted(a.u.)         Sigma_I(a.u.)            
       0.000934                63103.2625                 1388.1157           
       0.001104                88108.0213                973.134031           
       0.001273                45530.1083                628.119894           
       0.001443                40225.0214                435.956615           
       0.001613                23007.1599                268.933464           
       0.001783                10550.3317                 167.15929           
       0.001953                 4829.3813                 104.92854           
       0.002122                2531.00512                60.3936398           
       0.002292                1020.27379                42.8262222           
       0.002462                419.479949                25.3226242           
       0.002632                243.279715                17.7353738           
       0.002802                 180.20459                12.6773134           
       0.002971                135.880772                8.53587479           
       0.003141                124.122675                6.41639657           
       0.003311                98.5397035                4.41067232           
       0.003481                79.9259822                3.78443289           
       0.003651                68.4291156                3.21468782           
       0.003820                 53.257267                  2.706573           
       0.003990                46.8079082                2.47658711           
       0.004160                42.6085211                2.16731154           
       0.004330                35.8045109                2.04248722           
       0.004499                32.0953122                1.83181085           
       0.004669                 30.682673                1.77873723           
       0.004839                 26.939807                1.63636614           
       0.005009                25.9213014                1.56692661           
       0.005179                22.6899271                1.48369122           
       0.005348                21.0646796                1.34260299           
       0.005518                20.5791424                1.27280647           
       0.005688                20.2455175                1.30222145           
       0.005858                20.9276839                1.28984579           
       0.006028                21.9850066                1.30758596           
       0.006197                18.8250652                1.12102314           
       0.006367                21.7086088                1.22029954           
       0.006537                18.5925813                1.11258702           
       0.006707                19.0851755                1.13697138           
       0.006877                20.6566963                1.13429158           
       0.007046                18.5099206                1.05236865           
       0.007216                16.1958594                1.01748796           
       0.007386                18.8023162                1.02952114           
       0.007556                18.9257349                 1.0380142           
       0.007726                17.6340269               0.973548859           
       0.007895                16.4895343               0.972476335           
       0.008065                19.0985705                1.04262218           
       0.008235                20.8731948                1.01812784           
       0.008405                18.1526722               0.960006848           
       0.008574                20.5693239                 1.0029431           
       0.008744                 18.109742               0.956266576           
       0.008914                19.9555827               0.995910231           
       0.009084                19.1264858               0.904363006           
       0.009254                20.9796016                  1.008978           
       0.009423                22.1025944               0.986572959           
       0.009593                21.6784208               0.981276764           
       0.009763                24.1295164                1.02327925           
       0.009933                  24.72303                1.01389162           
       0.010103                22.5740235                1.00094359           
       0.010272                25.0528068                1.00466058           
       0.010442                26.8268508                1.03422915           
       0.010612                28.3834402                1.04247035           
       0.010782                29.4739163                1.06889913           
       0.010952                  27.55365                1.06617588           
       0.011121                31.2311769                1.06847784           
       0.011291                30.8460505                1.07822979           
       0.011461                31.3669424                1.07222354           
       0.011631                 34.283054                1.10697642           
       0.011800                36.6949063                1.15975758           
       0.011970                37.5366206                1.11556492           
       0.012140                38.4499557                1.16716447           
       0.012310                38.9561662                1.15313164           
       0.012480                38.7947092                1.14751916           
       0.012649                39.3178886                1.13192662           
       0.012819                41.4597693                1.15895928           
       0.012989                39.3367383                1.14491664           
       0.013159                39.2294853                1.11702545           
       0.013329                39.0961164                1.09949585           
       0.013498                 38.032208                1.08011666           
       0.013668                36.8494803                1.06279996           
       0.013838                  36.85129                1.07568268           
       0.014008                35.0046011                1.00680572           
       0.014178                32.2699856               0.984555332           
       0.014347                29.2904334               0.918795611           
       0.014517                 29.601718               0.931198585           
       0.014687                27.5348617               0.881647574           
       0.014857                23.6451873               0.805723795           
       0.015027                24.1014882               0.829235769           
       0.015196                21.4735576               0.771422683           
       0.015366                20.1162469               0.748403194           
       0.015536                18.3693806               0.694972243           
       0.015706                16.7684295                0.66876733           
       0.015875                 15.908124               0.658245699           
       0.016045                14.9420052               0.621379054           
       0.016215                13.6374019               0.595103795           
       0.016385                13.1245478               0.578643794           
