timestep	potential_energy
0	1303330.375
5000	-769711.875
10000	-2643086.5
15000	-2805604.5
20000	-2875180.75
25000	-2916814
30000	-2948303.75
35000	-2981301
40000	-3015027.5
45000	-3048437.5
50000	-3069562.5
55000	-3083320.75
60000	-3096529
65000	-3105539
70000	-3124722.75
75000	-3139222.75
80000	-3156233.75
85000	-3180103.5
90000	-3197132
95000	-3217535
100000	-3243705.25
105000	-3251144.75
110000	-3277143
115000	-3295068
120000	-3310388.5
125000	-3315537.5
130000	-3332272.5
135000	-3342222.25
140000	-3356275
145000	-3375541.5
150000	-3383187
155000	-3385278.5
160000	-3392353
165000	-3402758.75
170000	-3405779.75
175000	-3415730.5
180000	-3430677.5
185000	-3443276
190000	-3443888
195000	-3449691.5
200000	-3454128.25
205000	-3455374.5
210000	-3458858.75
215000	-3457626.5
220000	-3461660
225000	-3467892
230000	-3472456.5
235000	-3475219.75
240000	-3478819.25
245000	-3483483
250000	-3483838
255000	-3485944.75
260000	-3487957.5
265000	-3492381.75
270000	-3495020.25
275000	-3503572.25
280000	-3519114
285000	-3534656.5
290000	-3537632.5
295000	-3540730
300000	-3544328.5
305000	-3552429.5
310000	-3557821.5
315000	-3562082
320000	-3568396.5
325000	-3571598.5
330000	-3571269.5
335000	-3581046.5
340000	-3583032.25
345000	-3585386
350000	-3586089.25
355000	-3593820
360000	-3595447
365000	-3599210
370000	-3601606
375000	-3601337.5
380000	-3606317.5
385000	-3607384.5
390000	-3611233.75
395000	-3616274.5
400000	-3618413.25
405000	-3620240.5
410000	-3625943.75
415000	-3633501.25
420000	-3635822
425000	-3639594
430000	-3653402
435000	-3663929.5
440000	-3673099.75
445000	-3674161.75
450000	-3676874
455000	-3680870.25
460000	-3680899.5
465000	-3681849.75
470000	-3680902
475000	-3680816
480000	-3684102.5
485000	-3684920.5
490000	-3688864.25
495000	-3690205.5
500000	-3690682
505000	-3691219.5
510000	-3691376.25
515000	-3692695.25
520000	-3690856
525000	-3692965.5
530000	-3693213.5
535000	-3694780.5
540000	-3693852
545000	-3693454.75
550000	-3698015.25
555000	-3697785.75
560000	-3700898.5
565000	-3701251
570000	-3701437.5
575000	-3704297.5
580000	-3703685.5
585000	-3705889
590000	-3704529.25
595000	-3705448.25
